Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Sulfato de Potasio (Lbs),Sulfato de Potasio (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Sin Calcio,Sin Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
2,14,39060,,43.05860880649469,,25.179196894882793,,42.77112304485596,,52.96159785583331,,0.0026480798927916668,,427.70923317073175,,20.019999999999996,,633.3393250110488
4,28,39074,,76.14022288953329,,44.52418963119518,,75.63186392078185,,93.65160596458328,,0.004682580298229167,,790.7621673170731,,20.019999999999996,,1082.564772538607
6,42,39088,,112.37246688524228,,65.71156262810875,,111.62219916584357,,138.2168529408333,,0.006910842647041664,,1084.1943307317076,,20.019999999999996,,1571.2809632166184
8,56,39102,,153.33065574995672,,89.66250601592412,,152.30692596460904,,188.5949582183332,,0.009429747910916665,,1452.2239439024388,,20.019999999999996,,2124.8905725652844
10,70,39116,,194.28884461467118,,113.61344940373948,,192.99165276337447,,238.97306349583332,,0.011948653174791666,,1840.148554146341,,20.019999999999996,,2679.1288638214623
12,84,39130,,225.79514374137463,,132.03725200975128,,224.2875964547324,,277.72545217083325,,0.013886272608541661,,2138.5520253658533,,20.019999999999996,,3105.466008567745
14,98,39144,,257.301442868078,,150.4610546157631,,255.58354014609046,,316.4778408458332,,0.015823892042291662,,2436.952566829269,,20.019999999999996,,3531.8030607337364
16,112,39158,,257.301442868078,,150.4610546157631,,255.58354014609046,,316.4778408458332,,0.015823892042291662,,2436.952566829269,,20.019999999999996,,3531.8030607337364
18,126,39172,,257.301442868078,,150.4610546157631,,255.58354014609046,,316.4778408458332,,0.015823892042291662,,2436.952566829269,,20.019999999999996,,3531.8030607337364
20,140,39186,,257.301442868078,,150.4610546157631,,255.58354014609046,,316.4778408458332,,0.015823892042291662,,2436.952566829269,,20.019999999999996,,3531.8030607337364
22,154,39200,,257.301442868078,,150.4610546157631,,255.58354014609046,,316.4778408458332,,0.015823892042291662,,2436.952566829269,,20.019999999999996,,3531.8030607337364
24,168,39214,,257.301442868078,,150.4610546157631,,255.58354014609046,,316.4778408458332,,0.015823892042291662,,2436.952566829269,,20.019999999999996,,3531.8030607337364
26,182,39228,,257.301442868078,,150.4610546157631,,255.58354014609046,,316.4778408458332,,0.015823892042291662,,2436.952566829269,,20.019999999999996,,3531.8030607337364
28,196,39242,,257.301442868078,,150.4610546157631,,255.58354014609046,,316.4778408458332,,0.015823892042291662,,2436.952566829269,,20.019999999999996,,3531.8030607337364
30,210,39256,,257.301442868078,,150.4610546157631,,255.58354014609046,,316.4778408458332,,0.015823892042291662,,2436.952566829269,,20.019999999999996,,3531.8030607337364
32,224,39270,,257.301442868078,,150.4610546157631,,255.58354014609046,,316.4778408458332,,0.015823892042291662,,2436.952566829269,,20.019999999999996,,3531.8030607337364
34,238,39284,,257.301442868078,,150.4610546157631,,255.58354014609046,,316.4778408458332,,0.015823892042291662,,2436.952566829269,,20.019999999999996,,3531.8030607337364
36,252,39298,,257.301442868078,,150.4610546157631,,255.58354014609046,,316.4778408458332,,0.015823892042291662,,2436.952566829269,,20.019999999999996,,3531.8030607337364
38,266,39312,,257.301442868078,,150.4610546157631,,255.58354014609046,,316.4778408458332,,0.015823892042291662,,2436.952566829269,,20.019999999999996,,3531.8030607337364
40,280,39326,,257.301442868078,,150.4610546157631,,255.58354014609046,,316.4778408458332,,0.015823892042291662,,2436.952566829269,,20.019999999999996,,3531.8030607337364
42,294,39340,,257.301442868078,,150.4610546157631,,255.58354014609046,,316.4778408458332,,0.015823892042291662,,2436.952566829269,,20.019999999999996,,3531.8030607337364
44,308,39354,,257.301442868078,,150.4610546157631,,255.58354014609046,,316.4778408458332,,0.015823892042291662,,2436.952566829269,,20.019999999999996,,3531.8030607337364
46,322,39368,,257.301442868078,,150.4610546157631,,255.58354014609046,,316.4778408458332,,0.015823892042291662,,2436.952566829269,,20.019999999999996,,3531.8030607337364
48,336,39382,,257.301442868078,,150.4610546157631,,255.58354014609046,,316.4778408458332,,0.015823892042291662,,2436.952566829269,,20.019999999999996,,3531.8030607337364
50,350,39396,,257.301442868078,,150.4610546157631,,255.58354014609046,,316.4778408458332,,0.015823892042291662,,2436.952566829269,,20.019999999999996,,3531.8030607337364
52,364,39410,,257.301442868078,,150.4610546157631,,255.58354014609046,,316.4778408458332,,0.015823892042291662,,2436.952566829269,,20.019999999999996,,3531.8030607337364
