Semana,N,Urea,P2O5,DAP 18-46-0,K2O,Kcl,MgO,Sulfato de Magnesio,Ca,Nitrato de Calcio,B,Solubor
1,2.463526758351762,2.6211353214726185,0.9534883428571429,2.072800745341615,2.588646203,4.314410338333333,0.4430491186526413,2.769056991579008,1.5410909780933812,5.707744363308819,5.0926,24.841951219512197
2,2.463526758351762,2.6211353214726185,0.9534883428571429,2.072800745341615,2.588646203,4.314410338333333,0.4430491186526413,2.769056991579008,1.5410909780933812,5.707744363308819,5.0926,24.841951219512197
3,3.4624644178301773,3.8326653821291234,0.9534883428571429,2.072800745341615,3.8808732346999997,6.468122057833333,0.6642149337533322,4.151343335958326,2.3103886201942467,8.55699488960832,9.1667,44.715609756097564
4,3.4624644178301773,3.8326653821291234,0.9534883428571429,2.072800745341615,3.8808732346999997,6.468122057833333,0.6642149337533322,4.151343335958326,2.3103886201942467,8.55699488960832,12.2222,59.62048780487805
5,5.658413023089203,6.441240002405296,0.9534883428571429,2.072800745341615,6.7951962828750005,11.325327138125001,1.1630039364631835,7.268774602894896,4.045363817495126,14.982828953685651,12.2222,59.62048780487805
6,5.658413023089203,6.441240002405296,0.9534883428571429,2.072800745341615,6.7951962828750005,11.325327138125001,1.1630039364631835,7.268774602894896,4.045363817495126,14.982828953685651,17.3149,84.46292682926831
7,5.927861262283927,6.786589333178375,0.9534883428571429,2.072800745341615,7.118777058250001,11.86462843041667,1.2183850762947637,7.614906726842273,4.238000189756798,15.696296999099252,17.3149,84.46292682926831
8,5.927861262283927,6.786589333178375,0.9534883428571429,2.072800745341615,7.118777058250001,11.86462843041667,1.2183850762947637,7.614906726842273,4.238000189756798,15.696296999099252,23.426,114.27317073170731
9,5.504442600692219,5.8661139818920525,0.9534883428571429,2.072800745341615,7.118777058250001,11.86462843041667,1.2183850762947637,7.614906726842273,4.238000189756798,15.696296999099252,23.426,114.27317073170731
10,5.504442600692219,5.8661139818920525,0.9534883428571429,2.072800745341615,7.118777058250001,11.86462843041667,1.2183850762947637,7.614906726842273,4.238000189756798,15.696296999099252,29.5372,144.0839024390244
11,5.0810239391005085,4.540090658691063,1.4302325142857142,3.109201118012422,7.118777058250001,11.86462843041667,1.2183850762947637,7.614906726842273,4.238000189756798,15.696296999099252,29.5372,144.0839024390244
12,5.0810239391005085,4.540090658691063,1.4302325142857142,3.109201118012422,7.118777058250001,11.86462843041667,1.2183850762947637,7.614906726842273,4.238000189756798,15.696296999099252,29.5372,144.0839024390244
13,4.869314608304654,4.0798529830479,1.4302325142857142,3.109201118012422,7.118777058250001,11.86462843041667,1.2183850762947637,7.614906726842273,4.238000189756798,15.696296999099252,35.6483,173.89414634146343
