Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),FofatoMonoPotasico (Lbs),FofatoMonoPotasico (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39815,,45.67208013431465,,66.73423076923076,,21.28521481159339,,37.93213828885107,,78.18797127139695,,243.4511219512195,,28.0,,2892.613859430491
2,8,39822,,45.67208013431465,,66.73423076923076,,21.28521481159339,,37.93213828885107,,78.18797127139695,,354.74360975609756,,28.0,,2897.0655589426865
3,15,39829,,59.06405049123251,,84.77202534847306,,40.61443734043483,,56.89820743327663,,117.28195690709546,,521.6802926829268,,28.0,,4054.5848456009035
4,22,39836,,59.06405049123251,,84.77202534847306,,40.61443734043483,,56.89820743327663,,117.28195690709546,,584.2807804878049,,28.0,,4057.0888651130986
5,29,39843,,59.06405049123251,,84.77202534847306,,40.61443734043483,,56.89820743327663,,117.28195690709546,,688.619024390244,,28.0,,4061.262394869196
6,36,39850,,59.06405049123251,,84.77202534847306,,40.61443734043483,,56.89820743327663,,117.28195690709546,,827.7366829268294,,28.0,,4066.8271012106597
7,43,39857,,72.45602084815033,,50.921684354214406,,89.34693669426014,,75.86427657770214,,156.3759425427939,,911.2053658536587,,28.0,,4568.254922354232
8,50,39864,,72.45602084815033,,50.921684354214406,,89.34693669426014,,75.86427657770214,,156.3759425427939,,1119.8770731707316,,28.0,,4576.601790646915
9,57,39871,,59.86392790116438,,50.921684354214406,,89.34693669426014,,75.86427657770214,,156.3759425427939,,1161.6120975609756,,28.0,,4500.200215351211
10,64,39878,,41.87522369118443,,50.921684354214406,,89.34693669426014,,75.86427657770214,,156.3759425427939,,1412.0222439024392,,28.0,,4398.686655102995
11,71,39885,,26.009806505394344,,41.65376923076922,,65.0481158071337,,56.89820743327663,,117.28195690709546,,1412.0222439024392,,28.0,,3342.834548976773
12,78,39892,,14.191847766849737,,41.65376923076922,,35.49747635005493,,37.93213828885107,,78.18797127139695,,1578.9596097560973,,28.0,,2435.3445521105577
13,85,39899,,14.191847766849737,,41.65376923076922,,35.49747635005493,,37.93213828885107,,78.18797127139695,,1704.1626341463416,,28.0,,2440.352673086167
