Semana (Semana),DDT (DDT),FECHA,Seleccioné su opción (Preventivos),Preventivos (Dosis),Preventivos (Unidades),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Nitrato de Potasio (Lbs),Nitrato de Potasio (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,40280,,,,0.25397702512684756,,0.18766810947105528,,0.20190788206521737,,0.17662321024702707,,0.36406622752177936,,3.260506097560975,,2.6249999999999996,
2,8,40287,,,,0.25397702512684756,,0.18766810947105528,,0.20190788206521737,,0.17662321024702707,,0.36406622752177936,,3.260506097560975,,2.6249999999999996,
3,15,40294,,,,0.4444597939719833,,0.32841919157434674,,0.3533387936141304,,0.3090906179322973,,0.6371158981631139,,5.868923780487804,,2.6249999999999996,
4,22,40301,,,,0.6432214209890877,,0.4691702736776382,,0.5408246841032609,,0.473097884590251,,0.9751773951476235,,7.8251890243902436,,2.6249999999999996,
5,29,40308,0,0.0,0,0.616459068811486,,0.43789225543246224,,0.5155151545516303,,0.4509578358040077,,0.9295410145865277,,7.8251890243902436,,2.6249999999999996,42.15144090959207
6,36,40315,,,,0.986334510098378,,0.7006276086919394,,0.8248242472826086,,0.7215325372864125,,1.4872656233384443,,11.085759146341465,,2.6249999999999996,
7,43,40322,,,,1.081511863468295,,0.7006276086919394,,0.8882722663043476,,0.777035040154598,,1.6016706712875552,,11.085759146341465,,2.6249999999999996,
8,50,40329,,,,1.5375739121569416,,0.6505827794996584,,1.1803462866847823,,1.032532995864346,,2.1283181982160855,,14.998353658536582,,2.6249999999999996,
9,57,40336,0,0.0,0,1.3233467415887723,,0.6505827794996584,,1.1803462866847823,,1.032532995864346,,2.1283181982160855,,14.998353658536582,,2.6249999999999996,76.16079364151686
10,64,40343,,,,1.8708117808267022,,0.6505827794996584,,1.5955364243659418,,1.3957293913198976,,2.876960131278429,,18.91101219512195,,2.6249999999999996,
11,71,40350,,,,1.8708117808267022,,0.6505827794996584,,1.5955364243659418,,1.3957293913198976,,2.876960131278429,,18.91101219512195,,2.6249999999999996,
12,78,40357,,,,1.8708117808267022,,0.6505827794996584,,1.5955364243659418,,1.3957293913198976,,2.876960131278429,,18.91101219512195,,2.6249999999999996,
13,85,40364,0,0.0,0,2.275900158404325,,0.48134323770491794,,1.8567742527173878,,1.6242527328033696,,3.348005984868101,,22.823606707317072,,2.6249999999999996,101.04757595955778
14,92,40371,,,,2.275900158404325,,0.48134323770491794,,1.8567742527173878,,1.6242527328033696,,3.348005984868101,,22.823606707317072,,2.6249999999999996,
15,99,40378,,,,2.275900158404325,,0.48134323770491794,,1.8567742527173878,,1.6242527328033696,,3.348005984868101,,22.823606707317072,,2.6249999999999996,
16,106,40385,,,,2.275900158404325,,0.48134323770491794,,1.8567742527173878,,1.6242527328033696,,3.348005984868101,,22.823606707317072,,2.6249999999999996,
17,113,40392,0,0.0,0,2.275900158404325,,0.48134323770491794,,1.8567742527173878,,1.6242527328033696,,3.348005984868101,,22.823606707317072,,2.6249999999999996,101.04757595955778
18,120,40399,,,,2.275900158404325,,0.48134323770491794,,1.8567742527173878,,1.6242527328033696,,3.348005984868101,,22.823606707317072,,2.6249999999999996,
19,127,40406,,,,2.275900158404325,,0.48134323770491794,,1.8567742527173878,,1.6242527328033696,,3.348005984868101,,22.823606707317072,,2.6249999999999996,
20,134,40413,,,,2.275900158404325,,0.48134323770491794,,1.8567742527173878,,1.6242527328033696,,3.348005984868101,,22.823606707317072,,2.6249999999999996,
21,141,40420,0,0.0,0,2.275900158404325,,0.48134323770491794,,1.8567742527173878,,1.6242527328033696,,3.348005984868101,,22.823606707317072,,2.6249999999999996,101.04757595955778
22,148,40427,,,,2.275900158404325,,0.48134323770491794,,1.8567742527173878,,1.6242527328033696,,3.348005984868101,,22.823606707317072,,2.6249999999999996,
23,155,40434,,,,2.275900158404325,,0.48134323770491794,,1.8567742527173878,,1.6242527328033696,,3.348005984868101,,22.823606707317072,,2.6249999999999996,
