Semana,DDT,FECHA,Seleccioné su opción (Preventivos),Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,FofatoMonoPotasico (Lbs),Admin_FofatoMonoPotasico_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Preventivos (Dosis),Unidades,Admin_Costo / Aplicación
1,3,39451,,21.302555767377594,,12.531749999999999,,15.741494999999999,,14.660884215481364,,30.21988333808889,,87.03377609756097,,20.019999999999996,0.0,0.0,999.2803334098489
2,10,39458,,21.302555767377594,,12.531749999999999,,15.741494999999999,,14.660884215481364,,30.21988333808889,,126.82084048780487,,20.019999999999996,0.0,0.0,1000.8718159854586
3,17,39465,,21.302555767377594,,12.531749999999999,,15.741494999999999,,14.660884215481364,,30.21988333808889,,186.50070463414633,,20.019999999999996,0.0,0.0,1003.2590105513125
4,24,39472,,21.302555767377594,,12.531749999999999,,15.741494999999999,,14.660884215481364,,30.21988333808889,,208.88037902439024,,20.019999999999996,0.0,0.0,1004.1541975269222
5,31,39479,,28.821104861746164,,12.531749999999999,,23.803666764705884,,19.835313938592435,,40.8857245162379,,246.18130121951222,,20.019999999999996,0.0,0.0,1281.6792581909438
6,38,39486,,38.679209200276965,,12.531749999999999,,37.27098337254901,,28.478851360014897,,58.70229605889886,,295.9158641463415,,20.019999999999996,0.0,0.0,1728.0162849950825
7,45,39493,,31.926391451720637,,11.799383749999997,,37.68599091421569,,28.478851360014897,,58.70229605889886,,325.75591829268296,,20.019999999999996,0.0,0.0,1678.129249694887
8,52,39500,,31.926391451720637,,11.799383749999997,,37.68599091421569,,28.478851360014897,,58.70229605889886,,400.35605365853655,,20.019999999999996,0.0,0.0,1681.113255109521
9,59,39507,,31.926391451720637,,11.799383749999997,,37.68599091421569,,28.478851360014897,,58.70229605889886,,415.27632487804874,,20.019999999999996,0.0,0.0,1681.7100659583016
10,66,39514,,18.65628240103118,,11.799383749999997,,19.242773746219328,,16.64170202989836,,34.30286239896161,,504.797952195122,,20.019999999999996,0.0,0.0,1078.1941006376198
11,73,39521,,21.232145711891345,,11.799383749999997,,22.82279002610061,,18.93941326558983,,39.03904095863467,,504.797952195122,,20.019999999999996,0.0,0.0,1196.0377781558566
12,80,39528,,12.250434727108756,,11.799383749999997,,22.82279002610061,,18.93941326558983,,39.03904095863467,,564.4780604878048,,20.019999999999996,0.0,0.0,1142.738374381912
13,87,39535,,5.514151488521821,,10.411121875,,23.609471755267265,,18.93941326558983,,39.03904095863467,,609.2381417073171,,20.019999999999996,0.0,0.0,1085.2994871639535
14,94,39542,,5.514151488521821,,10.411121875,,23.609471755267265,,18.93941326558983,,39.03904095863467,,609.2381417073171,,20.019999999999996,0.0,0.0,1085.2994871639535
15,101,39549,,5.514151488521821,,10.411121875,,23.609471755267265,,18.93941326558983,,39.03904095863467,,609.2381417073171,,20.019999999999996,0.0,0.0,1085.2994871639535
16,108,39556,,5.514151488521821,,10.411121875,,23.609471755267265,,18.93941326558983,,39.03904095863467,,609.2381417073171,,20.019999999999996,0.0,0.0,1085.2994871639535
17,115,39563,,5.514151488521821,,10.411121875,,23.609471755267265,,18.93941326558983,,39.03904095863467,,609.2381417073171,,20.019999999999996,0.0,0.0,1085.2994871639535
18,122,39570,,5.514151488521821,,10.411121875,,23.609471755267265,,18.93941326558983,,39.03904095863467,,609.2381417073171,,20.019999999999996,0.0,0.0,1085.2994871639535
19,129,39577,,5.514151488521821,,10.411121875,,23.609471755267265,,18.93941326558983,,39.03904095863467,,609.2381417073171,,20.019999999999996,0.0,0.0,1085.2994871639535
20,136,39584,,5.514151488521821,,10.411121875,,23.609471755267265,,18.93941326558983,,39.03904095863467,,609.2381417073171,,20.019999999999996,0.0,0.0,1085.2994871639535
