Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl (Lbs),Admin_Kcl_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Sin Calcio,Admin_Sulfato de Magnesio_Cambios_1,Sin Boro,Admin_Sulfato de Magnesio_Cambios_2,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39927,,66.46895103083422,,16.042514782608695,,62.51188066666666,,40.12111659357243,,0.00223290062289868,,0.15328725999999998,,301.0,,1953.3057019405314
2,8,39934,,66.46895103083422,,16.042514782608695,,62.51188066666666,,40.12111659357243,,0.00223290062289868,,0.15328725999999998,,301.0,,1953.3057019405314
3,15,39941,,66.46895103083422,,16.042514782608695,,62.51188066666666,,40.12111659357243,,0.00223290062289868,,0.27591766999999995,,301.0,,1953.3057019405314
4,22,39948,,63.12300316694008,,24.593270434782607,,62.51188066666666,,40.12111659357243,,0.00223290062289868,,0.36788822,,301.0,,2005.4987708974313
5,29,39955,,90.17571880991441,,35.13324347826087,,89.30268666666667,,57.315880847960614,,0.0031898580327124003,,0.36788822,,301.0,,2503.798244139188
6,36,39962,,90.17571880991441,,35.13324347826087,,89.30268666666667,,57.315880847960614,,0.0031898580327124003,,0.52117849,,301.0,,2503.798244139188
7,43,39969,,90.17571880991441,,35.13324347826087,,89.30268666666667,,57.315880847960614,,0.0031898580327124003,,0.52117849,,301.0,,2503.798244139188
8,50,39976,,85.718415218232,,46.5241304347826,,89.30268666666667,,57.315880847960614,,0.0031898580327124003,,0.7051225999999999,,301.0,,2573.327227609887
9,57,39983,,128.577622827348,,69.78619565217392,,133.95403,,85.9738212719409,,0.0047847870490686,,0.7051225999999999,,301.0,,3438.5908414148307
10,64,39990,,128.577622827348,,69.78619565217392,,133.95403,,85.9738212719409,,0.0047847870490686,,0.88906972,,301.0,,3438.5908414148307
11,71,39997,,131.66250297857673,,61.90261304347826,,133.95403,,85.9738212719409,,0.0047847870490686,,0.88906972,,301.0,,3390.470138700275
12,78,40004,,131.66250297857673,,61.90261304347826,,133.95403,,85.9738212719409,,0.0047847870490686,,0.88906972,,301.0,,3390.470138700275
13,85,40011,,157.99500357429207,,74.28313565217391,,160.744836,,103.1685855263291,,0.005741744458882321,,1.07301383,,301.0,,3900.0041664403298
14,92,40018,,183.51783106935235,,74.28313565217391,,182.67690000000002,,117.24493209433287,,0.006525149450778001,,1.07301383,,301.0,,4255.265403059762
15,99,40025,,183.51783106935235,,74.28313565217391,,182.67690000000002,,117.24493209433287,,0.006525149450778001,,1.07301383,,301.0,,4255.265403059762
16,106,40032,,183.51783106935235,,74.28313565217391,,182.67690000000002,,117.24493209433287,,0.006525149450778001,,1.07301383,,301.0,,4255.265403059762
17,113,40039,,203.90870118816926,,82.53681739130434,,202.97433333333333,,130.27214677148095,,0.00725016605642,,1.07301383,,301.0,,4634.428225621958
18,120,40046,,203.90870118816926,,82.53681739130434,,202.97433333333333,,130.27214677148095,,0.00725016605642,,1.07301383,,301.0,,4634.428225621958
19,127,40053,,203.90870118816926,,82.53681739130434,,202.97433333333333,,130.27214677148095,,0.00725016605642,,1.07301383,,301.0,,4634.428225621958
20,134,40060,,203.90870118816926,,82.53681739130434,,202.97433333333333,,130.27214677148095,,0.00725016605642,,1.07301383,,301.0,,4634.428225621958
21,141,40067,,203.90870118816926,,82.53681739130434,,202.97433333333333,,130.27214677148095,,0.00725016605642,,1.07301383,,301.0,,4634.428225621958
22,148,40074,,203.90870118816926,,82.53681739130434,,202.97433333333333,,130.27214677148095,,0.00725016605642,,1.07301383,,301.0,,4634.428225621958
23,155,40081,,203.90870118816926,,82.53681739130434,,202.97433333333333,,130.27214677148095,,0.00725016605642,,1.07301383,,301.0,,4634.428225621958
24,162,40088,,203.90870118816926,,82.53681739130434,,202.97433333333333,,130.27214677148095,,0.00725016605642,,1.07301383,,301.0,,4634.428225621958
25,169,40095,,203.90870118816926,,82.53681739130434,,202.97433333333333,,130.27214677148095,,0.00725016605642,,1.07301383,,301.0,,4634.428225621958
26,176,40102,,203.90870118816926,,82.53681739130434,,202.97433333333333,,130.27214677148095,,0.00725016605642,,1.07301383,,301.0,,4634.428225621958
27,183,40109,,227.72776505597903,,82.53681739130434,,223.4423333333333,,143.40883384087397,,0.007981275238579999,,1.07301383,,301.0,,4965.974175475402
28,190,40116,,227.72776505597903,,82.53681739130434,,223.4423333333333,,143.40883384087397,,0.007981275238579999,,1.07301383,,301.0,,4965.974175475402
29,197,40123,,227.72776505597903,,82.53681739130434,,223.4423333333333,,143.40883384087397,,0.007981275238579999,,1.07301383,,301.0,,4965.974175475402
30,204,40130,,227.72776505597903,,82.53681739130434,,223.4423333333333,,143.40883384087397,,0.007981275238579999,,1.07301383,,301.0,,4965.974175475402
31,211,40137,,227.72776505597903,,82.53681739130434,,223.4423333333333,,143.40883384087397,,0.007981275238579999,,1.07301383,,301.0,,4965.974175475402
32,218,40144,,184.39030162982502,,82.53681739130434,,223.4423333333333,,143.40883384087397,,0.007981275238579999,,1.07301383,,301.0,,4747.1199851733245
33,225,40151,,184.39030162982502,,82.53681739130434,,223.4423333333333,,143.40883384087397,,0.007981275238579999,,1.07301383,,301.0,,4747.1199851733245
34,232,40158,,184.39030162982502,,82.53681739130434,,223.4423333333333,,143.40883384087397,,0.007981275238579999,,1.07301383,,301.0,,4747.1199851733245
35,239,40165,,184.39030162982502,,82.53681739130434,,223.4423333333333,,143.40883384087397,,0.007981275238579999,,1.07301383,,301.0,,4747.1199851733245
36,246,40172,,184.39030162982502,,82.53681739130434,,223.4423333333333,,143.40883384087397,,0.007981275238579999,,1.07301383,,301.0,,4747.1199851733245
37,253,40179,,184.39030162982502,,82.53681739130434,,223.4423333333333,,143.40883384087397,,0.007981275238579999,,1.07301383,,301.0,,4747.1199851733245
38,260,40186,,184.39030162982502,,82.53681739130434,,223.4423333333333,,143.40883384087397,,0.007981275238579999,,1.07301383,,301.0,,4747.1199851733245
39,267,40193,,184.39030162982502,,82.53681739130434,,223.4423333333333,,143.40883384087397,,0.007981275238579999,,1.07301383,,301.0,,4747.1199851733245
40,274,40200,,195.72770899043454,,82.53681739130434,,235.1331733333333,,150.91220039639197,,0.0083988676008608,,1.07301383,,301.0,,4925.040449214223
41,281,40207,,195.72770899043454,,82.53681739130434,,235.1331733333333,,150.91220039639197,,0.0083988676008608,,1.07301383,,301.0,,4925.040449214223
42,288,40214,,195.72770899043454,,82.53681739130434,,235.1331733333333,,150.91220039639197,,0.0083988676008608,,1.07301383,,301.0,,4925.040449214223
43,295,40221,,195.72770899043454,,82.53681739130434,,235.1331733333333,,150.91220039639197,,0.0083988676008608,,1.07301383,,301.0,,4925.040449214223
44,302,40228,,195.72770899043454,,82.53681739130434,,235.1331733333333,,150.91220039639197,,0.0083988676008608,,1.07301383,,301.0,,4925.040449214223
45,309,40235,,195.72770899043454,,82.53681739130434,,235.1331733333333,,150.91220039639197,,0.0083988676008608,,1.07301383,,301.0,,4925.040449214223
46,316,40242,,195.72770899043454,,82.53681739130434,,235.1331733333333,,150.91220039639197,,0.0083988676008608,,1.07301383,,301.0,,4925.040449214223
47,323,40249,,104.51781919388263,,82.53681739130434,,235.1331733333333,,150.91220039639197,,0.0083988676008608,,1.07301383,,301.0,,4464.430505741636
48,330,40256,,114.75978516741762,,56.36290434782608,,235.1331733333333,,150.91220039639197,,0.0083988676008608,,1.07301383,,301.0,,4304.667216516683
49,337,40263,,125.00175114095259,,30.18899130434782,,235.1331733333333,,150.91220039639197,,0.0083988676008608,,1.07301383,,301.0,,4144.903927291731
50,344,40270,,125.00175114095259,,30.18899130434782,,235.1331733333333,,150.91220039639197,,0.0083988676008608,,1.07301383,,301.0,,4144.903927291731
51,351,40277,,125.00175114095259,,30.18899130434782,,235.1331733333333,,150.91220039639197,,0.0083988676008608,,1.07301383,,301.0,,4144.903927291731
52,358,40284,,125.00175114095259,,30.18899130434782,,235.1331733333333,,150.91220039639197,,0.0083988676008608,,1.07301383,,301.0,,4144.903927291731
