Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Sin Calcio,Sin Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,3,39608,,14.68891327495274,,7.228610519565216,,15.148496911881669,,9.72254560792731,,0.0005410985532635866,,87.03377609756097,,20.019999999999996,,422.0813043861802
2,10,39615,,23.461876025009357,,7.228610519565216,,22.72765176358343,,14.586967414517012,,0.00081182308448753,,126.82084048780487,,20.019999999999996,,570.9167943576963
3,17,39622,,23.461876025009357,,7.228610519565216,,22.72765176358343,,14.586967414517012,,0.00081182308448753,,186.50070463414633,,20.019999999999996,,573.3039889235499
4,24,39629,,32.40437920824817,,7.228610519565216,,30.458291584404016,,19.548614677186002,,0.0010879586012441094,,208.88037902439024,,20.019999999999996,,724.3484230189536
5,31,39636,,32.40437920824817,,7.228610519565216,,30.458291584404016,,19.548614677186002,,0.0010879586012441094,,246.18130121951222,,20.019999999999996,,725.8404599067583
6,38,39643,,32.40437920824817,,7.228610519565216,,30.458291584404016,,19.548614677186002,,0.0010879586012441094,,295.9158641463415,,20.019999999999996,,727.8298424238315
7,45,39650,,32.40437920824817,,7.228610519565216,,30.458291584404016,,19.548614677186002,,0.0010879586012441094,,325.75591829268296,,20.019999999999996,,729.0234445896851
8,52,39657,,29.974519488710563,,7.228610519565216,,30.458291584404016,,19.548614677186002,,0.0010879586012441094,,400.35605365853655,,20.019999999999996,,716.2133618273249
9,59,39664,,29.974519488710563,,7.228610519565216,,30.458291584404016,,19.548614677186002,,0.0010879586012441094,,415.27632487804874,,20.019999999999996,,716.8101726761054
10,66,39671,,23.706860638396396,,10.842915779347825,,29.195833333333336,,18.738348946167388,,0.0010428640722500002,,504.797952195122,,20.019999999999996,,707.9950334009407
11,73,39678,,23.706860638396396,,10.842915779347825,,29.195833333333336,,18.738348946167388,,0.0010428640722500002,,504.797952195122,,20.019999999999996,,707.9950334009407
12,80,39685,,23.706860638396396,,10.842915779347825,,29.195833333333336,,18.738348946167388,,0.0010428640722500002,,564.4780604878048,,20.019999999999996,,710.3822377326478
13,87,39692,,23.706860638396396,,10.842915779347825,,29.195833333333336,,18.738348946167388,,0.0010428640722500002,,609.2381417073171,,20.019999999999996,,712.1726409814285
14,94,39699,,23.706860638396396,,10.842915779347825,,29.195833333333336,,18.738348946167388,,0.0010428640722500002,,609.2381417073171,,20.019999999999996,,712.1726409814285
15,101,39706,,23.706860638396396,,10.842915779347825,,29.195833333333336,,18.738348946167388,,0.0010428640722500002,,609.2381417073171,,20.019999999999996,,712.1726409814285
16,108,39713,,23.706860638396396,,10.842915779347825,,29.195833333333336,,18.738348946167388,,0.0010428640722500002,,609.2381417073171,,20.019999999999996,,712.1726409814285
17,115,39720,,23.706860638396396,,10.842915779347825,,29.195833333333336,,18.738348946167388,,0.0010428640722500002,,609.2381417073171,,20.019999999999996,,712.1726409814285
18,122,39727,,23.706860638396396,,10.842915779347825,,29.195833333333336,,18.738348946167388,,0.0010428640722500002,,609.2381417073171,,20.019999999999996,,712.1726409814285
19,129,39734,,23.706860638396396,,10.842915779347825,,29.195833333333336,,18.738348946167388,,0.0010428640722500002,,609.2381417073171,,20.019999999999996,,712.1726409814285
20,136,39741,,23.706860638396396,,10.842915779347825,,29.195833333333336,,18.738348946167388,,0.0010428640722500002,,609.2381417073171,,20.019999999999996,,712.1726409814285
21,143,39748,,23.706860638396396,,10.842915779347825,,29.195833333333336,,18.738348946167388,,0.0010428640722500002,,609.2381417073171,,20.019999999999996,,712.1726409814285
22,150,39755,,23.706860638396396,,10.842915779347825,,29.195833333333336,,18.738348946167388,,0.0010428640722500002,,609.2381417073171,,20.019999999999996,,712.1726409814285
23,157,39762,,23.706860638396396,,10.842915779347825,,29.195833333333336,,18.738348946167388,,0.0010428640722500002,,609.2381417073171,,20.019999999999996,,712.1726409814285
24,164,39769,,23.706860638396396,,10.842915779347825,,29.195833333333336,,18.738348946167388,,0.0010428640722500002,,609.2381417073171,,20.019999999999996,,712.1726409814285
25,171,39776,,23.706860638396396,,10.842915779347825,,29.195833333333336,,18.738348946167388,,0.0010428640722500002,,609.2381417073171,,20.019999999999996,,712.1726409814285
26,178,39783,,23.706860638396396,,10.842915779347825,,29.195833333333336,,18.738348946167388,,0.0010428640722500002,,609.2381417073171,,20.019999999999996,,712.1726409814285
27,185,39790,,23.706860638396396,,10.842915779347825,,29.195833333333336,,18.738348946167388,,0.0010428640722500002,,609.2381417073171,,20.019999999999996,,712.1726409814285
