Fase,Día Después Siembra,Semana,N,P2O5,K20,MgO,Ca,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O
,1.0,1,1,0.225,0.7473,0.12790106503755347,0.4448878671,5.0926,4.4995637628797,0.4000000000000001,0.5
,2.0,1,1,0.225,0.7473,0.12790106503755347,0.4448878671,5.0926,4.4995637628797,0.4000000000000001,0.5
,3.0,1,1,0.225,0.7473,0.12790106503755347,0.4448878671,5.0926,4.4995637628797,0.4000000000000001,0.5
,4.0,1,1,0.225,0.7473,0.12790106503755347,0.4448878671,5.0926,4.4995637628797,0.4000000000000001,0.5
,5.0,1,1,0.225,0.7473,0.12790106503755347,0.4448878671,5.0926,4.4995637628797,0.4000000000000001,0.5
,6.0,1,1,0.225,0.7473,0.12790106503755347,0.4448878671,5.0926,4.4995637628797,0.4000000000000001,0.5
,7.0,1,1,0.225,0.7473,0.12790106503755347,0.4448878671,5.0926,4.4995637628797,0.4000000000000001,0.5
,8.0,2,1,0.225,0.7473,0.12790106503755347,0.4448878671,5.0926,4.4995637628797,0.4000000000000001,0.5
,9.0,2,1,0.225,0.7473,0.12790106503755347,0.4448878671,5.0926,4.4995637628797,0.4000000000000001,0.5
,10.0,2,1,0.225,0.7473,0.12790106503755347,0.4448878671,5.0926,4.4995637628797,0.4000000000000001,0.5
,11.0,2,1,0.225,0.7473,0.12790106503755347,0.4448878671,9.1667,4.4995637628797,0.4000000000000001,0.5
,12.0,2,1,0.225,0.7473,0.12790106503755347,0.4448878671,9.1667,4.4995637628797,0.4000000000000001,0.5
,13.0,2,1,0.225,0.7473,0.12790106503755347,0.4448878671,9.1667,4.4995637628797,0.4000000000000001,0.5
,14.0,2,1,0.225,0.7473,0.12790106503755347,0.4448878671,9.1667,4.4995637628797,0.4000000000000001,0.5
,15.0,3,1,0.225,0.7473,0.12790106503755347,0.4448878671,9.1667,4.4995637628797,0.4000000000000001,0.5
,16.0,3,1,0.225,0.7473,0.12790106503755347,0.4448878671,9.1667,4.4995637628797,0.4000000000000001,0.5
,17.0,3,1,0.225,0.7473,0.12790106503755347,0.4448878671,9.1667,4.4995637628797,0.4000000000000001,0.5
,18.0,3,1,0.225,0.7473,0.12790106503755347,0.4448878671,12.2222,4.4995637628797,0.4000000000000001,0.5
,19.0,3,1,0.225,0.7473,0.12790106503755347,0.4448878671,12.2222,4.4995637628797,0.4000000000000001,0.5
,20.0,3,1,0.225,0.7473,0.12790106503755347,0.4448878671,12.2222,4.4995637628797,0.4000000000000001,0.5
,21.0,3,1,0.225,0.7473,0.12790106503755347,0.4448878671,12.2222,4.4995637628797,0.4000000000000001,0.5
,22.0,4,1,0.225,0.7473,0.12790106503755347,0.4448878671,12.2222,4.4995637628797,0.4000000000000001,0.5
,23.0,4,1,0.225,0.7473,0.12790106503755347,0.4448878671,12.2222,4.4995637628797,0.4000000000000001,0.5
,24.0,4,1,0.225,0.7473,0.12790106503755347,0.4448878671,12.2222,4.4995637628797,0.4000000000000001,0.5
,25.0,4,1,0.225,0.7473,0.12790106503755347,0.4448878671,12.2222,4.4995637628797,0.4000000000000001,0.5
,26.0,4,1,0.225,0.7473,0.12790106503755347,0.4448878671,12.2222,4.4995637628797,0.4000000000000001,0.5
,27.0,4,1,0.225,0.7473,0.12790106503755347,0.4448878671,12.2222,4.4995637628797,0.4000000000000001,0.5
,28.0,4,1,0.225,0.7473,0.12790106503755347,0.4448878671,12.2222,4.4995637628797,0.4000000000000001,0.5
,29.0,5,1,0.225,0.7473,0.12790106503755347,0.4448878671,12.2222,4.4995637628797,0.4000000000000001,0.5
,30.0,5,1,0.225,0.7473,0.12790106503755347,0.4448878671,12.2222,4.4995637628797,0.4000000000000001,0.5
,31.0,5,1,0.225,0.7473,0.12790106503755347,0.4448878671,12.2222,4.4995637628797,0.4000000000000001,0.5
,32.0,5,1,0.225,0.7473,0.12790106503755347,0.4448878671,12.2222,4.4995637628797,0.4000000000000001,0.5
,33.0,5,1,0.225,0.7473,0.12790106503755347,0.4448878671,17.3149,4.4995637628797,0.4000000000000001,0.5
,34.0,5,1,0.225,0.7473,0.12790106503755347,0.4448878671,17.3149,4.4995637628797,0.4000000000000001,0.5
,35.0,5,1,0.225,0.7473,0.12790106503755347,0.4448878671,17.3149,4.4995637628797,0.4000000000000001,0.5
,36.0,6,1,0.225,0.7473,0.12790106503755347,0.4448878671,17.3149,4.4995637628797,0.4000000000000001,0.5
,37.0,6,1,0.225,0.7473,0.12790106503755347,0.4448878671,17.3149,4.4995637628797,0.4000000000000001,0.5
,38.0,6,1,0.225,0.7473,0.12790106503755347,0.4448878671,17.3149,4.4995637628797,0.4000000000000001,0.5
,39.0,6,1,0.225,0.7473,0.12790106503755347,0.4448878671,17.3149,4.4995637628797,0.4000000000000001,0.5
,40.0,6,1,0.225,0.7473,0.12790106503755347,0.4448878671,17.3149,4.4995637628797,0.4000000000000001,0.5
,41.0,6,1,0.225,0.7473,0.12790106503755347,0.4448878671,17.3149,4.4995637628797,0.4000000000000001,0.5
,42.0,6,1,0.225,0.7473,0.12790106503755347,0.4448878671,17.3149,4.4995637628797,0.4000000000000001,0.5
,43.0,7,1,0.225,0.7473,0.12790106503755347,0.4448878671,17.3149,4.4995637628797,0.4000000000000001,0.5
,44.0,7,1,0.225,0.7473,0.12790106503755347,0.4448878671,17.3149,4.4995637628797,0.4000000000000001,0.5
,45.0,7,1,0.225,0.7473,0.12790106503755347,0.4448878671,17.3149,4.4995637628797,0.4000000000000001,0.5
,46.0,7,1,0.225,0.7473,0.12790106503755347,0.4448878671,17.3149,4.4995637628797,0.4000000000000001,0.5
,47.0,7,1,0.225,0.7473,0.12790106503755347,0.4448878671,17.3149,4.4995637628797,0.4000000000000001,0.5
,48.0,7,1,0.225,0.7473,0.12790106503755347,0.4448878671,23.426,4.4995637628797,0.4000000000000001,0.5
,49.0,7,1,0.225,0.7473,0.12790106503755347,0.4448878671,23.426,4.4995637628797,0.4000000000000001,0.5
,50.0,8,1,0.225,0.7473,0.12790106503755347,0.4448878671,23.426,4.4995637628797,0.4000000000000001,0.5
,51.0,8,1,0.225,0.7473,0.12790106503755347,0.4448878671,23.426,4.4995637628797,0.4000000000000001,0.5
,52.0,8,1,0.225,0.7473,0.12790106503755347,0.4448878671,23.426,4.4995637628797,0.4000000000000001,0.5
,53.0,8,1,0.225,0.7473,0.12790106503755347,0.4448878671,23.426,4.4995637628797,0.4000000000000001,0.5
,54.0,8,1,0.225,0.7473,0.12790106503755347,0.4448878671,23.426,4.4995637628797,0.4000000000000001,0.5
,55.0,8,1,0.225,0.7473,0.12790106503755347,0.4448878671,23.426,4.4995637628797,0.4000000000000001,0.5
,56.0,8,1,0.225,0.7473,0.12790106503755347,0.4448878671,23.426,4.4995637628797,0.4000000000000001,0.5
,57.0,9,1,0.225,0.7473,0.12790106503755347,0.4448878671,23.426,4.4995637628797,0.4000000000000001,0.5
,58.0,9,1,0.225,0.7473,0.12790106503755347,0.4448878671,23.426,4.4995637628797,0.4000000000000001,0.5
,59.0,9,1,0.225,0.7473,0.12790106503755347,0.4448878671,23.426,4.4995637628797,0.4000000000000001,0.5
,60.0,9,1,0.225,0.7473,0.12790106503755347,0.4448878671,23.426,4.4995637628797,0.4000000000000001,0.5
,61.0,9,1,0.225,0.7473,0.12790106503755347,0.4448878671,23.426,4.4995637628797,0.4000000000000001,0.5
,62.0,9,1,0.225,0.7473,0.12790106503755347,0.4448878671,23.426,4.4995637628797,0.4000000000000001,0.5
,63.0,9,1,0.225,0.7473,0.12790106503755347,0.4448878671,29.5372,4.4995637628797,0.4000000000000001,0.5
,64.0,10,1,0.225,0.7473,0.12790106503755347,0.4448878671,29.5372,4.4995637628797,0.4000000000000001,0.5
,65.0,10,1,0.225,0.7473,0.12790106503755347,0.4448878671,29.5372,4.4995637628797,0.4000000000000001,0.5
,66.0,10,1,0.225,0.7473,0.12790106503755347,0.4448878671,29.5372,4.4995637628797,0.4000000000000001,0.5
,67.0,10,1,0.225,0.7473,0.12790106503755347,0.4448878671,29.5372,4.4995637628797,0.4000000000000001,0.5
,68.0,10,1,0.225,0.7473,0.12790106503755347,0.4448878671,29.5372,4.4995637628797,0.4000000000000001,0.5
,69.0,10,1,0.225,0.7473,0.12790106503755347,0.4448878671,29.5372,4.4995637628797,0.4000000000000001,0.5
,70.0,10,1,0.225,0.7473,0.12790106503755347,0.4448878671,29.5372,4.4995637628797,0.4000000000000001,0.5
