Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,3,39451,TricoZam,3.7553877403013116,,3.9471954260869557,,7.045990864212298,,4.07000583199449,,8.389337206437832,,0.017841924099999996,,20.019999999999996,1.001,610.4719978376307
2,10,39458,,3.968808682919528,,4.171516914782607,,7.44641876032054,,4.3013067098783315,,8.86610828265069,,0.025998272299999996,,20.019999999999996,,239.9825682065453
3,17,39465,,4.128874389883191,,4.3397580313043465,,7.746739682401721,,4.474782368291212,,9.223686589810335,,0.03823264445,,20.019999999999996,,247.40049598323122
4,24,39472,,4.128874389883191,,4.3397580313043465,,7.746739682401721,,4.474782368291212,,9.223686589810335,,0.0428204777,,20.019999999999996,,247.40049598323122
5,31,39479,BaZam o MetaZam,4.128874389883191,,4.3397580313043465,,7.746739682401721,,4.474782368291212,,9.223686589810335,,0.05046716674999999,,20.019999999999996,1.001,627.7804959832312
6,38,39486,,4.464494373018781,,4.3397580313043465,,8.14916771785116,,4.70723859521543,,9.702839139930354,,0.060662752149999985,,20.019999999999996,,256.70384857974506
7,45,39493,,4.397663280474305,,4.93260768,,8.45098874443824,,4.881580765408593,,10.062203552520366,,0.06677996324999999,,20.019999999999996,,265.35549964702915
8,52,39500,,4.158753720552176,,5.3772449165217395,,8.45098874443824,,4.881580765408593,,10.062203552520366,,0.08207299099999998,,20.019999999999996,,266.6111021119532
9,59,39507,TricoZam,4.158753720552176,,5.3772449165217395,,8.45098874443824,,4.881580765408593,,10.062203552520366,,0.08513164659999999,,20.019999999999996,1.001,646.9911021119531
10,66,39514,,4.158753720552176,,5.3772449165217395,,8.45098874443824,,4.881580765408593,,10.062203552520366,,0.10348358019999997,,20.019999999999996,,266.6111021119532
11,73,39521,,5.121576057857662,,5.3772449165217395,,9.605469172178879,,5.548448231515248,,11.436790291731466,,0.10348358019999997,,20.019999999999996,,293.3004416681549
12,80,39528,,5.843692810836776,,5.3772449165217395,,10.471329492984356,,6.048598831095239,,12.467730346139795,,0.11571800239999998,,20.019999999999996,,313.31744633530616
13,87,39535,BaZam o MetaZam,5.843692810836776,,5.3772449165217395,,10.471329492984356,,6.048598831095239,,12.467730346139795,,0.12489381904999998,,20.019999999999996,1.001,693.697446335306
14,94,39542,,5.843692810836776,,5.3772449165217395,,10.471329492984356,,6.048598831095239,,12.467730346139795,,0.12489381904999998,,20.019999999999996,,313.31744633530616
15,101,39549,,5.843692810836776,,5.3772449165217395,,10.471329492984356,,6.048598831095239,,12.467730346139795,,0.12489381904999998,,20.019999999999996,,313.31744633530616
16,108,39556,,5.843692810836776,,5.3772449165217395,,10.471329492984356,,6.048598831095239,,12.467730346139795,,0.12489381904999998,,20.019999999999996,,313.31744633530616
17,115,39563,TricoZam,5.843692810836776,,5.3772449165217395,,10.471329492984356,,6.048598831095239,,12.467730346139795,,0.12489381904999998,,20.019999999999996,1.001,693.697446335306
18,122,39570,,5.843692810836776,,5.3772449165217395,,10.471329492984356,,6.048598831095239,,12.467730346139795,,0.12489381904999998,,20.019999999999996,,313.31744633530616
19,129,39577,,5.843692810836776,,5.3772449165217395,,10.471329492984356,,6.048598831095239,,12.467730346139795,,0.12489381904999998,,20.019999999999996,,313.31744633530616
20,136,39584,,5.843692810836776,,5.3772449165217395,,10.471329492984356,,6.048598831095239,,12.467730346139795,,0.12489381904999998,,20.019999999999996,,313.31744633530616
21,143,39591,BaZam o MetaZam,5.843692810836776,,5.3772449165217395,,10.471329492984356,,6.048598831095239,,12.467730346139795,,0.12489381904999998,,20.019999999999996,1.001,693.697446335306
22,150,39598,,5.843692810836776,,5.3772449165217395,,10.471329492984356,,6.048598831095239,,12.467730346139795,,0.12489381904999998,,20.019999999999996,,313.31744633530616
23,157,39605,,5.843692810836776,,5.3772449165217395,,10.471329492984356,,6.048598831095239,,12.467730346139795,,0.12489381904999998,,20.019999999999996,,313.31744633530616
