Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,MAP 12-61-0 (Lbs),Admin_MAP 12-61-0_Cambios,Sulfato de Potasio (Lbs),Admin_Sulfato de Potasio_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,7,38734,,0.0,,2.670276566752799,,9.133559620370368,,9.688097168749996,,16.033687673340005,,174.06755219512195,,20.019999999999996,,219.13148149049428
2,14,38741,,0.0,,10.681106267011195,,36.534238481481474,,38.752388674999985,,64.13475069336002,,253.64168097560972,,20.019999999999996,,775.451864483343
3,21,38748,,0.0,,10.681106267011195,,36.534238481481474,,38.752388674999985,,64.13475069336002,,373.0014092682927,,20.019999999999996,,779.2236318973918
4,28,38755,,1.0615720574565077e-14,,26.70276566752799,,91.33559620370369,,96.88097168749997,,160.33687673340003,,417.7607580487805,,20.019999999999996,,1888.2497083656258
5,35,38762,,1.0615720574565077e-14,,26.70276566752799,,91.33559620370369,,96.88097168749997,,160.33687673340003,,492.3626024390243,,20.019999999999996,,1890.6071266483575
6,42,38769,,1.0615720574565077e-14,,26.70276566752799,,91.33559620370369,,96.88097168749997,,160.33687673340003,,591.8317282926829,,20.019999999999996,,1893.7503510253332
7,49,38776,,1.0615720574565077e-14,,26.70276566752799,,91.33559620370369,,96.88097168749997,,160.33687673340003,,651.5118365853658,,20.019999999999996,,1895.6362424473818
8,56,38783,,0.0,,34.71359536778638,,118.73627506481476,,125.94526319374995,,208.43793975342,,800.712107317073,,20.019999999999996,,2454.1568115258883
9,63,38790,,0.0,,34.71359536778638,,118.73627506481476,,125.94526319374995,,208.43793975342,,830.5526497560974,,20.019999999999996,,2455.0997726669616
10,70,38797,,2.1231441149130154e-14,,32.04331880103358,,162.98568508444444,,160.7506493185185,,264.81445447580904,,1009.5959043902436,,20.019999999999996,,3012.1623725020827
11,77,38804,,2.1231441149130154e-14,,32.04331880103358,,162.98568508444444,,160.7506493185185,,264.81445447580904,,1009.5959043902436,,20.019999999999996,,3012.1623725020827
12,84,38811,,2.1231441149130154e-14,,32.04331880103358,,162.98568508444444,,160.7506493185185,,264.81445447580904,,1128.9561209756098,,20.019999999999996,,3015.93415534618
