Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Sulfato de Potasio (Lbs),Sulfato de Potasio (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,3,39049,,0.29638701115836513,,20.399128749999996,,11.720171574298687,,6.519233088479727,,10.75026365351854,,73.97870968292683,,20.019999999999996,,245.49436308354885
2,10,39056,,0.29638701115836513,,20.399128749999996,,11.720171574298687,,6.519233088479727,,10.75026365351854,,107.79771441463414,,20.019999999999996,,246.56304363307078
3,17,39063,,1.3734505141744056,,21.9861489673913,,13.72934384417846,,7.636815903647681,,12.593165994121719,,158.5255989390244,,20.019999999999996,,278.0601441051424
4,24,39070,,10.701271425589814,,22.25065233695652,,24.779791328517224,,13.783521387071424,,22.729128867439197,,177.54832217073172,,20.019999999999996,,425.1935510800707
5,31,39077,,32.67102620707978,,19.920525624999996,,47.43878970549467,,26.3873720247989,,43.51297193090837,,209.25410603658537,,20.019999999999996,,725.9918136959463
6,38,39084,,41.61444729727626,,17.23527617087907,,58.600857871493425,,32.59616544239865,,53.751318267592715,,251.52848452439025,,20.019999999999996,,863.7702688025516
7,45,39091,,43.3717129538538,,17.23527617087907,,62.61920241125299,,34.83133107273455,,57.437122948799065,,276.8925305487805,,20.019999999999996,,912.2982775026089
8,52,39098,,41.22702422452439,,17.23527617087907,,65.63296081607265,,36.50770529548648,,60.201476459703834,,340.30264560975604,,20.019999999999996,,939.0164742631601
9,59,39105,,38.630045745702446,,17.23527617087907,,65.63296081607265,,36.50770529548648,,60.201476459703834,,352.98487614634143,,20.019999999999996,,931.106901615886
10,66,39112,,36.27999817070814,,15.16462182133812,,65.63296081607265,,36.50770529548648,,60.201476459703834,,429.0782593658537,,20.019999999999996,,918.9510754972016
11,73,39119,,34.12805585059351,,14.336360081521738,,65.63296081607265,,36.50770529548648,,60.201476459703834,,429.0782593658537,,20.019999999999996,,909.2487701574591
12,80,39126,,34.12805585059351,,14.336360081521738,,65.63296081607265,,36.50770529548648,,60.201476459703834,,479.8063514146342,,20.019999999999996,,910.8517778662006
13,87,39133,,32.39673686471224,,14.336360081521738,,65.63296081607265,,36.50770529548648,,60.201476459703834,,517.8524204512195,,20.019999999999996,,906.5138128929366
14,94,39140,,31.09824762530128,,14.336360081521738,,65.63296081607265,,36.50770529548648,,60.201476459703834,,517.8524204512195,,20.019999999999996,,902.3586473268215
15,101,39147,,31.09824762530128,,14.336360081521738,,65.63296081607265,,36.50770529548648,,60.201476459703834,,517.8524204512195,,20.019999999999996,,902.3586473268215
16,108,39154,,31.09824762530128,,14.336360081521738,,65.63296081607265,,36.50770529548648,,60.201476459703834,,517.8524204512195,,20.019999999999996,,902.3586473268215
17,115,39161,,31.09824762530128,,14.336360081521738,,65.63296081607265,,36.50770529548648,,60.201476459703834,,517.8524204512195,,20.019999999999996,,902.3586473268215
18,122,39168,,31.09824762530128,,14.336360081521738,,65.63296081607265,,36.50770529548648,,60.201476459703834,,517.8524204512195,,20.019999999999996,,902.3586473268215
19,129,39175,,31.09824762530128,,14.336360081521738,,65.63296081607265,,36.50770529548648,,60.201476459703834,,517.8524204512195,,20.019999999999996,,902.3586473268215
20,136,39182,,31.09824762530128,,14.336360081521738,,65.63296081607265,,36.50770529548648,,60.201476459703834,,517.8524204512195,,20.019999999999996,,902.3586473268215
21,143,39189,,31.09824762530128,,14.336360081521738,,65.63296081607265,,36.50770529548648,,60.201476459703834,,517.8524204512195,,20.019999999999996,,902.3586473268215
22,150,39196,,31.09824762530128,,14.336360081521738,,65.63296081607265,,36.50770529548648,,60.201476459703834,,517.8524204512195,,20.019999999999996,,902.3586473268215
23,157,39203,,31.09824762530128,,14.336360081521738,,65.63296081607265,,36.50770529548648,,60.201476459703834,,517.8524204512195,,20.019999999999996,,902.3586473268215
