Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39601,,1.678498504774308,,9.031089171154047,,8.139745479240373,,5.224217763596219,,10.768467237599408,,174.06755219512195,,20.019999999999996,,413.92747770615483
2,8,39608,,1.678498504774308,,9.031089171154047,,8.139745479240373,,5.224217763596219,,10.768467237599408,,253.64168097560975,,20.019999999999996,,417.1104428573743
3,15,39615,,3.356997009548616,,18.062178342308094,,16.279490958480746,,10.448435527192437,,21.536934475198816,,373.00140926829266,,20.019999999999996,,772.7936076074316
4,22,39622,,5.035495514322926,,27.093267513462145,,24.419236437721125,,15.672653290788658,,32.30540171279822,,417.7607580487805,,20.019999999999996,,1125.4927571770013
5,29,39629,,5.035495514322926,,27.093267513462145,,24.419236437721125,,15.672653290788658,,32.30540171279822,,492.36260243902444,,20.019999999999996,,1128.476830952611
6,36,39636,,8.392492523871544,,45.155445855770246,,40.698727396201875,,26.121088817981104,,53.842336187997034,,591.831728292683,,20.019999999999996,,1834.2731472234575
7,43,39643,,8.392492523871544,,45.155445855770246,,40.698727396201875,,26.121088817981104,,53.842336187997034,,651.5118365853659,,20.019999999999996,,1836.6603515551649
8,50,39650,,21.871631906889085,,33.544045492857904,,54.652576789185375,,35.07689069843177,,72.30256573816744,,800.7121073170731,,20.019999999999996,,2187.978190219331
9,57,39657,,27.07139862360326,,35.479278886676624,,63.95514305117437,,41.04742528539887,,84.60938543828107,,830.5526497560975,,20.019999999999996,,2510.9079137681797
10,64,39664,,31.993471100622024,,41.93005686607237,,75.58335087866062,,48.510593519107765,,99.99291006342308,,1009.595904390244,,20.019999999999996,,2958.365972640443
11,71,39671,,37.899958073044566,,49.670990441347264,,89.53720027164412,,57.46639539955843,,118.45313961359349,,1009.595904390244,,20.019999999999996,,3486.7215670647197
12,78,39678,,37.899958073044566,,49.670990441347264,,89.53720027164412,,57.46639539955843,,118.45313961359349,,1128.9561209756096,,20.019999999999996,,3491.4959757281345
13,85,39685,,37.899958073044566,,49.670990441347264,,89.53720027164412,,57.46639539955843,,118.45313961359349,,1218.4762834146343,,20.019999999999996,,3495.0767822256953
14,92,39692,,37.899958073044566,,49.670990441347264,,89.53720027164412,,57.46639539955843,,118.45313961359349,,1218.4762834146343,,20.019999999999996,,3495.0767822256953
15,99,39699,,37.899958073044566,,49.670990441347264,,89.53720027164412,,57.46639539955843,,118.45313961359349,,1218.4762834146343,,20.019999999999996,,3495.0767822256953
16,106,39706,,37.899958073044566,,49.670990441347264,,89.53720027164412,,57.46639539955843,,118.45313961359349,,1218.4762834146343,,20.019999999999996,,3495.0767822256953
17,113,39713,,37.899958073044566,,49.670990441347264,,89.53720027164412,,57.46639539955843,,118.45313961359349,,1218.4762834146343,,20.019999999999996,,3495.0767822256953
18,120,39720,,37.899958073044566,,49.670990441347264,,89.53720027164412,,57.46639539955843,,118.45313961359349,,1218.4762834146343,,20.019999999999996,,3495.0767822256953
19,127,39727,,37.899958073044566,,49.670990441347264,,89.53720027164412,,57.46639539955843,,118.45313961359349,,1218.4762834146343,,20.019999999999996,,3495.0767822256953
20,134,39734,,37.899958073044566,,49.670990441347264,,89.53720027164412,,57.46639539955843,,118.45313961359349,,1218.4762834146343,,20.019999999999996,,3495.0767822256953
21,141,39741,,37.899958073044566,,49.670990441347264,,89.53720027164412,,57.46639539955843,,118.45313961359349,,1218.4762834146343,,20.019999999999996,,3495.0767822256953
22,148,39748,,37.899958073044566,,49.670990441347264,,89.53720027164412,,57.46639539955843,,118.45313961359349,,1218.4762834146343,,20.019999999999996,,3495.0767822256953
23,155,39755,,37.899958073044566,,49.670990441347264,,89.53720027164412,,57.46639539955843,,118.45313961359349,,1218.4762834146343,,20.019999999999996,,3495.0767822256953
24,162,39762,,37.899958073044566,,49.670990441347264,,89.53720027164412,,57.46639539955843,,118.45313961359349,,1218.4762834146343,,20.019999999999996,,3495.0767822256953
25,169,39769,,37.899958073044566,,49.670990441347264,,89.53720027164412,,57.46639539955843,,118.45313961359349,,1218.4762834146343,,20.019999999999996,,3495.0767822256953
