Dia          Semana,Columna_1,=((Main!E41/100)/(Main!J21/278)),Columna_3,=(((Main!F31/100)/Main!F72)/(Main!J21/278)),Columna_5,=(((Main!G36/100)/Main!F73)/(Main!J21/278)),Columna_7,=(((I5/100)/Main!F74)/(Main!J21/278)),Columna_9,=(((K5/100)/Main!F75)/(Main!J21/278)),Columna_11,=((M5/100)/(Main!J21/278)),Columna_13,Columna_14
1,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,5.0926,24.841951219512197,,
2,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,5.0926,24.841951219512197,,
3,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,5.0926,24.841951219512197,,
4,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,5.0926,24.841951219512197,,
5,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,5.0926,24.841951219512197,,
6,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,5.0926,24.841951219512197,,
7,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,5.0926,24.841951219512197,,
2,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,5.0926,24.841951219512197,,
9,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,5.0926,24.841951219512197,,
10,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,5.0926,24.841951219512197,,
11,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,9.1667,44.715609756097564,,
12,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,9.1667,44.715609756097564,,
13,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,9.1667,44.715609756097564,,
14,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,9.1667,44.715609756097564,,
3,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,9.1667,44.715609756097564,,
16,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,9.1667,44.715609756097564,,
17,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,9.1667,44.715609756097564,,
18,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,12.2222,59.62048780487805,,
19,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,12.2222,59.62048780487805,,
20,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,12.2222,59.62048780487805,,
21,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,12.2222,59.62048780487805,,
4,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,12.2222,59.62048780487805,,
23,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,12.2222,59.62048780487805,,
24,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,12.2222,59.62048780487805,,
25,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,12.2222,59.62048780487805,,
26,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,12.2222,59.62048780487805,,
27,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,12.2222,59.62048780487805,,
28,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,12.2222,59.62048780487805,,
5,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,12.2222,59.62048780487805,,
30,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,12.2222,59.62048780487805,,
31,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,12.2222,59.62048780487805,,
32,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,12.2222,59.62048780487805,,
33,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,17.3149,84.46292682926831,,
34,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,17.3149,84.46292682926831,,
35,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,17.3149,84.46292682926831,,
6,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,17.3149,84.46292682926831,,
37,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,17.3149,84.46292682926831,,
38,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,17.3149,84.46292682926831,,
39,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,17.3149,84.46292682926831,,
40,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,17.3149,84.46292682926831,,
41,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,17.3149,84.46292682926831,,
42,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,17.3149,84.46292682926831,,
7,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,17.3149,84.46292682926831,,
44,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,17.3149,84.46292682926831,,
45,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,17.3149,84.46292682926831,,
46,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,17.3149,84.46292682926831,,
47,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,17.3149,84.46292682926831,,
48,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,23.426,114.27317073170731,,
49,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,23.426,114.27317073170731,,
8,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,23.426,114.27317073170731,,
51,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,23.426,114.27317073170731,,
52,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,23.426,114.27317073170731,,
53,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,23.426,114.27317073170731,,
54,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,23.426,114.27317073170731,,
55,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,23.426,114.27317073170731,,
56,1.425528128704815,2.1735155084465867,0.95,1.012295081967213,1.369535012984294,1.4836629307329854,0.23439714541270013,0.9522384032390944,0.8153211706749008,1.9628102256988353,23.426,114.27317073170731,,
