Semana,N,Urea,P2O5,DAP 18-46-0,K2O,Kcl,MgO,Sulfato de Magnesio,Ca,Nitrato de Calcio,B,Solubor
1,1.92,-0.2930557865246271,3.290625,7.153532608695651,2.2447500000000002,3.7412500000000004,0.3841909751680024,2.4011935948000147,1.3363602832500003,4.9494825305555565,5.0926,24.841951219512197
2,1.92,-0.1822138739692739,3.1602150000000004,6.870032608695653,2.244875,3.7414583333333336,0.3842123690300787,2.401327306437992,1.336434699125,4.949758144907407,5.0926,24.841951219512197
3,4.9,3.4152179409461865,3.1602150000000004,6.870032608695653,6.122375,10.203958333333334,1.047849970640026,6.549062316500162,3.644815141625,13.49931533935185,9.1667,44.715609756097564
4,6.221052251225569,5.0964541343704575,2.5990875000000004,5.650190217391305,8.367375000000001,13.945625000000001,1.4320837335321812,8.950523334576133,4.981324256625001,18.449349098611115,12.2222,59.62048780487805
5,6.221052251225569,4.537990523784447,3.2555925,7.077375,8.367375000000001,13.945625000000001,1.4320837335321812,8.950523334576133,4.981324256625001,18.449349098611115,12.2222,59.62048780487805
6,8.739774050683355,6.826453306330254,3.61553625,7.859861413043478,12.244875,20.408125000000002,2.0957213351421284,13.098258344638303,7.289704699125001,26.99890629305556,17.3149,84.46292682926831
7,8.739774050683355,6.826453306330254,3.61553625,7.859861413043478,12.244875,20.408125000000002,2.0957213351421284,13.098258344638303,7.289704699125001,26.99890629305556,17.3149,84.46292682926831
8,10.341963358477143,9.22524041482048,2.9295675000000005,6.368625000000001,14.489625,24.149375000000003,2.4799123103101306,15.499451939438316,8.626064982375,31.94838882361111,23.426,114.27317073170731
9,10.341963358477143,9.22524041482048,2.9295675000000005,6.368625000000001,14.489625,24.149375000000003,2.4799123103101306,15.499451939438316,8.626064982375,31.94838882361111,23.426,114.27317073170731
10,8.618302798730953,5.478152241459199,2.9295675000000005,6.368625000000001,14.489625,24.149375000000003,2.4799123103101306,15.499451939438316,8.626064982375,31.94838882361111,29.5372,144.0839024390244
11,8.618302798730953,5.478152241459199,2.9295675000000005,6.368625000000001,14.489625,24.149375000000003,2.4799123103101306,15.499451939438316,8.626064982375,31.94838882361111,29.5372,144.0839024390244
12,7.7564725188578585,3.604608154778558,2.9295675000000005,6.368625000000001,14.489625,24.149375000000003,2.4799123103101306,15.499451939438316,8.626064982375,31.94838882361111,29.5372,144.0839024390244
13,7.7564725188578585,3.604608154778558,2.9295675000000005,6.368625000000001,14.489625,24.149375000000003,2.4799123103101306,15.499451939438316,8.626064982375,31.94838882361111,35.6483,173.89414634146343
