Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Sin Calcio,Sin Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Sin Melaza,Sin Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39449,,21.677421361058602,,3.71675652173913,,14.89488,,14.339157966797876,,1.0640789070912e-12,,0.010195385199999999,,0.0,,438.0497733719983
2,8,39456,,21.677421361058602,,3.71675652173913,,14.89488,,14.339157966797876,,1.0640789070912e-12,,0.010195385199999999,,0.0,,438.0497733719983
3,15,39463,,21.677421361058602,,3.71675652173913,,14.89488,,14.339157966797876,,1.0640789070912e-12,,0.018351733399999997,,0.0,,438.0497733719983
4,22,39470,,21.677421361058602,,3.71675652173913,,14.89488,,14.339157966797876,,1.0640789070912e-12,,0.0244688444,,0.0,,438.0497733719983
5,29,39477,,21.677421361058602,,3.71675652173913,,20.520500000000002,,19.75488832791374,,1.4659689244200002e-12,,0.0244688444,,0.0,,533.4332051062102
