Fase,Día Después Siembra,Semana,N,P2O5,K20,MgO,CaO,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O
,1.0,1,2.7978859583736675,3.541,3.6184456478055607,0.619300216960834,2.154158392171141,5.0926,2.6,0.4,0.5
,2.0,1,2.7978859583736675,3.541,3.6184456478055607,0.619300216960834,2.154158392171141,5.0926,2.6,0.4,0.5
,3.0,1,2.7978859583736675,3.541,3.6184456478055607,0.619300216960834,2.154158392171141,5.0926,2.6,0.4,0.5
,4.0,1,2.7978859583736675,3.541,3.6184456478055607,0.619300216960834,2.154158392171141,5.0926,2.6,0.4,0.5
,5.0,1,2.7978859583736675,3.541,3.6184456478055607,0.619300216960834,2.154158392171141,5.0926,2.6,0.4,0.5
,6.0,1,2.7978859583736675,3.541,3.6184456478055607,0.619300216960834,2.154158392171141,5.0926,2.6,0.4,0.5
,7.0,1,2.7978859583736675,3.541,3.6184456478055607,0.619300216960834,2.154158392171141,5.0926,2.6,0.4,0.5
,8.0,2,2.7978859583736675,3.541,3.6184456478055607,0.619300216960834,2.154158392171141,5.0926,2.6,0.4,0.5
,9.0,2,2.7978859583736675,3.541,3.6184456478055607,0.619300216960834,2.154158392171141,5.0926,2.6,0.4,0.5
,10.0,2,2.7978859583736675,3.541,3.6184456478055607,0.619300216960834,2.154158392171141,5.0926,2.6,0.4,0.5
,11.0,2,2.7978859583736675,3.541,3.6184456478055607,0.619300216960834,2.154158392171141,9.1667,2.6,0.4,0.5
,12.0,2,2.7978859583736675,3.541,3.6184456478055607,0.619300216960834,2.154158392171141,9.1667,2.6,0.4,0.5
,13.0,2,2.7978859583736675,3.541,3.6184456478055607,0.619300216960834,2.154158392171141,9.1667,2.6,0.4,0.5
,14.0,2,2.7978859583736675,3.541,3.6184456478055607,0.619300216960834,2.154158392171141,9.1667,2.6,0.4,0.5
,15.0,3,3.8739959423635395,4.49810746747,5.427668471708341,0.9289503254412511,3.231237588256712,9.1667,2.4,0.4,0.5
,16.0,3,3.8739959423635395,4.49810746747,5.427668471708341,0.9289503254412511,3.231237588256712,9.1667,2.4,0.4,0.5
,17.0,3,3.8739959423635395,4.49810746747,5.427668471708341,0.9289503254412511,3.231237588256712,9.1667,2.4,0.4,0.5
,18.0,3,3.8739959423635395,4.49810746747,5.427668471708341,0.9289503254412511,3.231237588256712,12.2222,2.4,0.4,0.5
,19.0,3,3.8739959423635395,4.49810746747,5.427668471708341,0.9289503254412511,3.231237588256712,12.2222,2.4,0.4,0.5
,20.0,3,3.8739959423635395,4.49810746747,5.427668471708341,0.9289503254412511,3.231237588256712,12.2222,2.4,0.4,0.5
,21.0,3,3.8739959423635395,4.49810746747,5.427668471708341,0.9289503254412511,3.231237588256712,12.2222,2.4,0.4,0.5
,22.0,4,3.8739959423635395,4.49810746747,5.427668471708341,0.9289503254412511,3.231237588256712,12.2222,2.4,0.4,0.5
,23.0,4,3.8739959423635395,4.49810746747,5.427668471708341,0.9289503254412511,3.231237588256712,12.2222,2.4,0.4,0.5
