Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sin Magnecio,Admin_Kcl Soluble_Cambios_1,Sin Calcio,Admin_Kcl Soluble_Cambios_2,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39480,,8.582225310239728,,2.1284053041346467,,6.521211862519684,,6.027000789214096e-05,,0.00020964168870182581,,49.733586341463415,,20.019999999999996,,137.06763650138106
2,8,39487,,8.582225310239728,,2.1284053041346467,,6.521211862519684,,6.027000789214096e-05,,0.00020964168870182581,,49.733586341463415,,20.019999999999996,,137.06763650138106
3,15,39494,,11.83128302921635,,3.1926079562019707,,9.781817793779526,,9.040501183821145e-05,,0.0003144625330527388,,89.5206507317073,,20.019999999999996,,173.94994310947197
4,22,39501,,15.775044038955132,,4.256810608269293,,13.042423725039368,,0.00012054001578428192,,0.00041928337740365163,,119.36021658536585,,20.019999999999996,,213.24789810368623
5,29,39508,,15.775044038955132,,4.256810608269293,,13.042423725039368,,0.00012054001578428192,,0.00041928337740365163,,119.36021658536585,,20.019999999999996,,213.24789810368623
6,36,39515,,21.5784561861462,,6.385215912403941,,19.56363558755905,,0.0001808100236764229,,0.0006289250661054776,,169.09477951219515,,20.019999999999996,,283.00538035813486
7,43,39522,,21.5784561861462,,6.385215912403941,,19.56363558755905,,0.0001808100236764229,,0.0006289250661054776,,169.09477951219515,,20.019999999999996,,283.00538035813486
8,50,39529,,28.771274914861614,,8.513621216538587,,26.084847450078737,,0.00024108003156856383,,0.0008385667548073033,,228.774887804878,,20.019999999999996,,358.78778108239123
9,57,39536,,27.381868333337284,,8.513621216538587,,26.084847450078737,,0.00024108003156856383,,0.0008385667548073033,,228.774887804878,,20.019999999999996,,353.16068442721763
10,64,39543,,43.41725615451632,,14.189368694230982,,41.66329801054241,,0.000385058383755345,,0.001339377455594998,,288.4559726829268,,20.019999999999996,,529.544549153092
11,71,39550,,36.75968295137893,,14.189368694230982,,41.66329801054241,,0.000385058383755345,,0.001339377455594998,,288.4559726829268,,20.019999999999996,,502.5813776803856
12,78,39557,,32.321300815954,,14.189368694230982,,41.66329801054241,,0.000385058383755345,,0.001339377455594998,,288.4559726829268,,20.019999999999996,,484.60593003191457
13,85,39564,,30.10210974824153,,14.189368694230982,,41.66329801054241,,0.000385058383755345,,0.001339377455594998,,348.13608097560973,,20.019999999999996,,478.00541053938645
