Requerimientos Semanal para:,Columna_1,Columna_2,Columna_3,Columna_4,Piña,Piña_1,Piña_2,Piña_3,Piña_4,Piña_5,Columna_11,Columna_12
1,5.246826332285772,5.6592654909139055,3.8077450263565877,6.242204961240308,7.613220160000001,12.688700266666668,1.628761820603126,10.179761378769538,4.53235551819232,16.786501919230815,27.805596000000005,135.63705365853662
2,7.495466188979677,8.084664987019874,5.439635751937984,8.917435658914728,10.876028799999998,18.126714666666665,2.326802600861609,14.542516255385056,6.4747935974176,23.98071702747259,40.516788000000005,197.64286829268298
3,11.430585938194007,12.329114105205306,8.295444521705425,13.59908937984496,16.58594392,27.643239866666665,3.548373966313954,22.177337289462212,9.87406023606184,36.5705934668957,59.583342,290.6504487804878
4,13.117065830714433,14.148163727284773,9.519362565891472,15.605512403100773,19.033050399999997,31.72175066666666,4.071904551507815,25.449403446923846,11.330888795480801,41.96625479807704,66.73321200000001,325.5278634146342
5,16.490025615755286,17.786262971443712,11.967198654263562,19.618358449612398,23.927263359999998,39.878772266666665,5.118965721895539,31.99353576184712,14.24454591431872,52.757577460439705,78.65013,383.6591707317074
6,20.987305329143087,22.637061963655622,15.230980105426351,24.96881984496123,30.452880640000004,50.75480106666667,6.515047282412504,40.71904551507815,18.12942207276928,67.14600767692326,94.53935400000002,461.16758048780497
7,20.987305329143087,22.637061963655622,15.230980105426351,24.96881984496123,30.452880640000004,50.75480106666667,6.515047282412504,40.71904551507815,18.12942207276928,67.14600767692326,104.07267,507.6715609756098
8,20.987305329143087,22.637061963655622,15.230980105426351,24.96881984496123,30.452880640000004,50.75480106666667,6.515047282412504,40.71904551507815,18.12942207276928,67.14600767692326,127.90595999999998,623.9315121951219
9,20.987305329143087,22.637061963655622,15.230980105426351,24.96881984496123,30.452880640000004,50.75480106666667,6.515047282412504,40.71904551507815,18.12942207276928,67.14600767692326,132.67269599999997,647.1838829268291
10,20.987305329143087,22.637061963655622,15.230980105426351,24.96881984496123,30.452880640000004,50.75480106666667,6.515047282412504,40.71904551507815,18.12942207276928,67.14600767692326,161.273112,786.6981073170732
11,20.987305329143087,22.637061963655622,15.230980105426351,24.96881984496123,30.452880640000004,50.75480106666667,6.515047282412504,40.71904551507815,18.12942207276928,67.14600767692326,161.273112,786.6981073170732
12,20.987305329143087,22.637061963655622,15.230980105426351,24.96881984496123,30.452880640000004,50.75480106666667,6.515047282412504,40.71904551507815,18.12942207276928,67.14600767692326,180.339744,879.706068292683
13,20.987305329143087,22.637061963655622,15.230980105426351,24.96881984496123,30.452880640000004,50.75480106666667,6.515047282412504,40.71904551507815,18.12942207276928,67.14600767692326,194.63971800000002,949.4620390243904
14,20.987305329143087,22.637061963655622,15.230980105426351,24.96881984496123,30.452880640000004,50.75480106666667,6.515047282412504,40.71904551507815,18.12942207276928,67.14600767692326,194.63971800000002,949.4620390243904
15,20.987305329143087,22.637061963655622,15.230980105426351,24.96881984496123,30.452880640000004,50.75480106666667,6.515047282412504,40.71904551507815,18.12942207276928,67.14600767692326,194.63971800000002,949.4620390243904
16,20.987305329143087,22.637061963655622,15.230980105426351,24.96881984496123,30.452880640000004,50.75480106666667,6.515047282412504,40.71904551507815,18.12942207276928,67.14600767692326,194.63971800000002,949.4620390243904
17,20.987305329143087,22.637061963655622,15.230980105426351,24.96881984496123,30.452880640000004,50.75480106666667,6.515047282412504,40.71904551507815,18.12942207276928,67.14600767692326,194.63971800000002,949.4620390243904
18,20.987305329143087,22.637061963655622,15.230980105426351,24.96881984496123,30.452880640000004,50.75480106666667,6.515047282412504,40.71904551507815,18.12942207276928,67.14600767692326,194.63971800000002,949.4620390243904
19,20.987305329143087,22.637061963655622,15.230980105426351,24.96881984496123,30.452880640000004,50.75480106666667,6.515047282412504,40.71904551507815,18.12942207276928,67.14600767692326,194.63971800000002,949.4620390243904
20,20.987305329143087,22.637061963655622,15.230980105426351,24.96881984496123,30.452880640000004,50.75480106666667,6.515047282412504,40.71904551507815,18.12942207276928,67.14600767692326,194.63971800000002,949.4620390243904
21,20.987305329143087,22.637061963655622,15.230980105426351,24.96881984496123,30.452880640000004,50.75480106666667,6.515047282412504,40.71904551507815,18.12942207276928,67.14600767692326,194.63971800000002,949.4620390243904
22,20.987305329143087,22.637061963655622,15.230980105426351,24.96881984496123,30.452880640000004,50.75480106666667,6.515047282412504,40.71904551507815,18.12942207276928,67.14600767692326,194.63971800000002,949.4620390243904
23,20.987305329143087,22.637061963655622,15.230980105426351,24.96881984496123,30.452880640000004,50.75480106666667,6.515047282412504,40.71904551507815,18.12942207276928,67.14600767692326,194.63971800000002,949.4620390243904
24,20.987305329143087,22.637061963655622,15.230980105426351,24.96881984496123,30.452880640000004,50.75480106666667,6.515047282412504,40.71904551507815,18.12942207276928,67.14600767692326,194.63971800000002,949.4620390243904
25,20.987305329143087,22.637061963655622,15.230980105426351,24.96881984496123,30.452880640000004,50.75480106666667,6.515047282412504,40.71904551507815,18.12942207276928,67.14600767692326,194.63971800000002,949.4620390243904
26,20.987305329143087,22.637061963655622,15.230980105426351,24.96881984496123,30.452880640000004,50.75480106666667,6.515047282412504,40.71904551507815,18.12942207276928,67.14600767692326,194.63971800000002,949.4620390243904
27,20.987305329143087,22.637061963655622,15.230980105426351,24.96881984496123,30.452880640000004,50.75480106666667,6.515047282412504,40.71904551507815,18.12942207276928,67.14600767692326,194.63971800000002,949.4620390243904
28,20.987305329143087,22.637061963655622,15.230980105426351,24.96881984496123,30.452880640000004,50.75480106666667,6.515047282412504,40.71904551507815,18.12942207276928,67.14600767692326,194.63971800000002,949.4620390243904
29,20.987305329143087,22.637061963655622,15.230980105426351,24.96881984496123,30.452880640000004,50.75480106666667,6.515047282412504,40.71904551507815,18.12942207276928,67.14600767692326,194.63971800000002,949.4620390243904
30,20.987305329143087,22.637061963655622,15.230980105426351,24.96881984496123,30.452880640000004,50.75480106666667,6.515047282412504,40.71904551507815,18.12942207276928,67.14600767692326,194.63971800000002,949.4620390243904
31,16.490293406615912,2.1838405343569547,10.153986736950902,16.645879896640825,40.26547551288888,67.10912585481479,8.61434029563431,53.839626847714435,23.971124740661594,88.78194348393183,194.63971800000002,949.4620390243904
32,16.490293406615912,2.1838405343569547,10.153986736950902,16.645879896640825,40.26547551288888,67.10912585481479,8.61434029563431,53.839626847714435,23.971124740661594,88.78194348393183,194.63971800000002,949.4620390243904
