Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Sulfato de Potasio (Lbs),Sulfato de Potasio (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39942,,2.88477960662583,,3.7204527097442615,,10.895167748031495,,6.0603326186164885,,12.49191672431415,,66.77516487804878,,26.879999999999995,,453.7792130368431
2,8,39949,,2.88477960662583,,3.7204527097442615,,10.895167748031495,,6.0603326186164885,,12.49191672431415,,66.77516487804878,,26.879999999999995,,453.7792130368431
3,15,39956,,5.0483643115952,,6.510792242052458,,19.066543559055116,,10.605582082578854,,21.860854267549758,,120.19555902439023,,26.879999999999995,,737.7991836339877
4,22,39963,,7.211949016564572,,9.301131774360655,,27.237919370078743,,15.150831546541221,,31.229791810785375,,160.25987121951218,,26.879999999999995,,1021.2849109530836
5,29,39970,,7.211949016564572,,9.301131774360655,,27.237919370078743,,15.150831546541221,,31.229791810785375,,160.25987121951218,,26.879999999999995,,1021.2849109530836
6,36,39977,,11.53911842650332,,14.881810838977046,,43.58067099212598,,24.241330474465954,,49.9676668972566,,227.0363473170732,,26.879999999999995,,1587.7222796595677
7,43,39984,,11.53911842650332,,14.881810838977046,,43.58067099212598,,24.241330474465954,,49.9676668972566,,227.0363473170732,,26.879999999999995,,1587.7222796595677
8,50,39991,,14.911510458717837,,20.462489903593436,,73.23973875065616,,40.73890260292195,,83.97344020233399,,307.16628292682924,,26.879999999999995,,2454.409710035609
9,57,39998,,14.911510458717837,,20.462489903593436,,73.23973875065616,,40.73890260292195,,83.97344020233399,,307.16628292682924,,26.879999999999995,,2454.409710035609
10,64,40005,,9.525290267215247,,17.362112645473225,,94.9090168272966,,52.792230811059184,,108.81847457624771,,387.29752975609756,,26.879999999999995,,2831.661837895447
11,71,40012,,9.525290267215247,,17.362112645473225,,94.9090168272966,,52.792230811059184,,108.81847457624771,,387.29752975609756,,26.879999999999995,,2831.661837895447
12,78,40019,,9.525290267215247,,17.362112645473225,,94.9090168272966,,52.792230811059184,,108.81847457624771,,387.29752975609756,,26.879999999999995,,2831.661837895447
13,85,40026,,3.954039940350512,,21.082565355217483,,102.89880650918636,,57.236474731377946,,117.9792135074114,,467.42746536585366,,26.879999999999995,,3091.599737694435
14,92,40033,,3.954039940350512,,21.082565355217483,,102.89880650918636,,57.236474731377946,,117.9792135074114,,467.42746536585366,,26.879999999999995,,3091.599737694435
15,99,40040,,3.954039940350512,,21.082565355217483,,102.89880650918636,,57.236474731377946,,117.9792135074114,,467.42746536585366,,26.879999999999995,,3091.599737694435
16,106,40047,,3.954039940350512,,21.082565355217483,,102.89880650918636,,57.236474731377946,,117.9792135074114,,467.42746536585366,,26.879999999999995,,3091.599737694435
17,113,40054,,3.954039940350512,,21.082565355217483,,102.89880650918636,,57.236474731377946,,117.9792135074114,,467.42746536585366,,26.879999999999995,,3091.599737694435
18,120,40061,,3.954039940350512,,21.082565355217483,,102.89880650918636,,57.236474731377946,,117.9792135074114,,467.42746536585366,,26.879999999999995,,3091.599737694435
19,127,40068,,3.954039940350512,,21.082565355217483,,102.89880650918636,,57.236474731377946,,117.9792135074114,,467.42746536585366,,26.879999999999995,,3091.599737694435
20,134,40075,,3.954039940350512,,21.082565355217483,,102.89880650918636,,57.236474731377946,,117.9792135074114,,467.42746536585366,,26.879999999999995,,3091.599737694435
21,141,40082,,3.954039940350512,,21.082565355217483,,102.89880650918636,,57.236474731377946,,117.9792135074114,,467.42746536585366,,26.879999999999995,,3091.599737694435
22,148,40089,,3.954039940350512,,21.082565355217483,,102.89880650918636,,57.236474731377946,,117.9792135074114,,467.42746536585366,,26.879999999999995,,3091.599737694435
