Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Sulfato de Potasio (Lbs),Sulfato de Potasio (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),",@ Melaza (Lts)",",@ Melaza (Cambios)",Admin_Costo / Aplicación (Costo / Aplicación)
1,1,37789,,1.0375320066675497,,1.1444042428940566,,2.684148133333333,,1.8662895861077484,,3.077525351858982,,24.866793170731707,,20.019999999999996,,79.573287985192
2,8,37796,,1.0375320066675497,,1.1444042428940566,,2.684148133333333,,1.8662895861077484,,3.077525351858982,,24.866793170731707,,20.019999999999996,,79.573287985192
3,15,37803,,1.8156810116682132,,2.0027074250645986,,4.697259233333332,,3.26600677568856,,5.385669365753219,,44.76032536585365,,20.019999999999996,,117.5207965933055
4,22,37810,,2.5938300166688744,,2.8610106072351416,,6.710370333333332,,4.665723965269372,,7.693813379647455,,59.680108292682924,,20.019999999999996,,155.31113472454098
5,29,37817,,2.5938300166688744,,2.8610106072351416,,6.710370333333332,,4.665723965269372,,7.693813379647455,,59.680108292682924,,20.019999999999996,,155.31113472454098
6,36,37824,,4.150128026670199,,4.5776169715762265,,10.736592533333331,,7.465158344430994,,12.310101407435928,,84.54738975609757,,20.019999999999996,,230.7346868002802
7,43,37831,,4.150128026670199,,4.5776169715762265,,10.736592533333331,,7.465158344430994,,12.310101407435928,,84.54738975609757,,20.019999999999996,,230.7346868002802
8,50,37838,,4.150128026670199,,4.5776169715762265,,10.736592533333331,,7.465158344430994,,12.310101407435928,,114.387443902439,,20.019999999999996,,231.67763251130458
9,57,37845,,4.150128026670199,,4.5776169715762265,,10.736592533333331,,7.465158344430994,,12.310101407435928,,114.387443902439,,20.019999999999996,,231.67763251130458
10,64,37852,,4.150128026670199,,4.5776169715762265,,10.736592533333331,,7.465158344430994,,12.310101407435928,,144.2279863414634,,20.019999999999996,,232.62059365237775
11,71,37859,,4.150128026670199,,4.5776169715762265,,10.736592533333331,,7.465158344430994,,12.310101407435928,,144.2279863414634,,20.019999999999996,,232.62059365237775
12,78,37866,,4.150128026670199,,4.5776169715762265,,10.736592533333331,,7.465158344430994,,12.310101407435928,,144.2279863414634,,20.019999999999996,,232.62059365237775
13,85,37873,,4.150128026670199,,4.5776169715762265,,10.736592533333331,,7.465158344430994,,12.310101407435928,,174.06804048780486,,20.019999999999996,,233.56353936340216
14,92,37880,,4.150128026670199,,4.5776169715762265,,10.736592533333331,,7.465158344430994,,12.310101407435928,,174.06804048780486,,20.019999999999996,,233.56353936340216
15,99,37887,,4.150128026670199,,4.5776169715762265,,10.736592533333331,,7.465158344430994,,12.310101407435928,,174.06804048780486,,20.019999999999996,,233.56353936340216
16,106,37894,,4.150128026670199,,4.5776169715762265,,10.736592533333331,,7.465158344430994,,12.310101407435928,,174.06804048780486,,20.019999999999996,,233.56353936340216
17,113,37901,,4.150128026670199,,4.5776169715762265,,10.736592533333331,,7.465158344430994,,12.310101407435928,,174.06804048780486,,20.019999999999996,,233.56353936340216
18,120,37908,,4.150128026670199,,4.5776169715762265,,10.736592533333331,,7.465158344430994,,12.310101407435928,,174.06804048780486,,20.019999999999996,,233.56353936340216
19,127,37915,,4.150128026670199,,4.5776169715762265,,10.736592533333331,,7.465158344430994,,12.310101407435928,,174.06804048780486,,20.019999999999996,,233.56353936340216
20,134,37922,,4.150128026670199,,4.5776169715762265,,10.736592533333331,,7.465158344430994,,12.310101407435928,,174.06804048780486,,20.019999999999996,,233.56353936340216
21,141,37929,,4.150128026670199,,4.5776169715762265,,10.736592533333331,,7.465158344430994,,12.310101407435928,,174.06804048780486,,20.019999999999996,,233.56353936340216
22,148,37936,,4.150128026670199,,4.5776169715762265,,10.736592533333331,,7.465158344430994,,12.310101407435928,,174.06804048780486,,20.019999999999996,,233.56353936340216
23,155,37943,,4.150128026670199,,4.5776169715762265,,10.736592533333331,,7.465158344430994,,12.310101407435928,,174.06804048780486,,20.019999999999996,,233.56353936340216
24,162,37950,,4.150128026670199,,4.5776169715762265,,10.736592533333331,,7.465158344430994,,12.310101407435928,,174.06804048780486,,20.019999999999996,,233.56353936340216
25,169,37957,,4.150128026670199,,4.5776169715762265,,10.736592533333331,,7.465158344430994,,12.310101407435928,,174.06804048780486,,20.019999999999996,,233.56353936340216
26,176,37964,,4.150128026670199,,4.5776169715762265,,10.736592533333331,,7.465158344430994,,12.310101407435928,,174.06804048780486,,20.019999999999996,,233.56353936340216
27,183,37971,,4.150128026670199,,4.5776169715762265,,10.736592533333331,,7.465158344430994,,12.310101407435928,,174.06804048780486,,20.019999999999996,,233.56353936340216
28,190,37978,,4.150128026670199,,4.5776169715762265,,10.736592533333331,,7.465158344430994,,12.310101407435928,,174.06804048780486,,20.019999999999996,,233.56353936340216
29,197,37985,,4.150128026670199,,4.5776169715762265,,10.736592533333331,,7.465158344430994,,12.310101407435928,,174.06804048780486,,20.019999999999996,,233.56353936340216
30,204,37992,,4.150128026670199,,4.5776169715762265,,10.736592533333331,,7.465158344430994,,12.310101407435928,,174.06804048780486,,20.019999999999996,,233.56353936340216
31,211,37999,,0.0,,3.0517446477174843,,16.701366162962955,,7.465158344430994,,17.142007097764424,,174.06804048780486,,20.019999999999996,,248.8699951296089
32,218,38006,,0.0,,3.0517446477174843,,16.701366162962955,,10.395348753899977,,17.142007097764424,,174.06804048780486,,20.019999999999996,,259.7116996446441
33,225,38013,,0.0,,3.0517446477174843,,16.701366162962955,,10.395348753899977,,17.142007097764424,,174.06804048780486,,20.019999999999996,,259.7116996446441
34,232,38020,,0.0,,3.0517446477174843,,16.701366162962955,,10.395348753899977,,17.142007097764424,,174.06804048780486,,20.019999999999996,,259.7116996446441
35,239,38027,,0.0,,3.0517446477174843,,16.701366162962955,,10.395348753899977,,17.142007097764424,,174.06804048780486,,20.019999999999996,,259.7116996446441
