Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,FofatoMonoPotasico (Lbs),Admin_FofatoMonoPotasico_Cambios,Kcl (Lbs),Admin_Kcl_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
2,1,39966,,,,,,,,15.724488626154457,,32.41224777777776,,598.1947317073171,,28.0,,
4,15,39980,,,,,,,,15.724488626154457,,32.41224777777776,,1105.9610731707317,,28.0,,
6,29,39994,,,,,,,,33.54557573579618,,69.14612859259258,,1516.3557073170737,,28.0,,
8,43,40008,,,,,,,,140.47209839364646,,289.54941348148145,,2031.0824390243902,,28.0,,
10,57,40022,,,,,,,,184.1320338464855,,379.54385969230765,,2573.634341463414,,28.0,,
12,71,40036,,,,,,,,85.55899148862063,,176.3592634188033,,2990.9818536585367,,28.0,,
14,85,40050,,,,,,,,192.75869730836965,,397.32564962962965,,3408.325268292684,,28.0,,
16,99,40064,,,,,,,,115.31291659179936,,237.68981703703705,,3408.325268292684,,28.0,,
