Fase,Día después Siembra,Semana,N,P2O5,K20,MgO,Ca,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O,Columna_12
1.0,1.0,1,0.9609572037153429,0.6973891989664082,1.3943626666666664,0.2983080257514883,0.8301017432586666,5.0926,2.3173609977598346,0.5,0.5,
,2.0,1,0.9609572037153429,0.6973891989664082,1.3943626666666664,0.2983080257514883,0.8301017432586666,5.0926,2.3173609977598346,0.5,0.5,
,3.0,1,0.9609572037153429,0.6973891989664082,1.3943626666666664,0.2983080257514883,0.8301017432586666,5.0926,2.3173609977598346,0.5,0.5,
,4.0,1,0.9609572037153429,0.6973891989664082,1.3943626666666664,0.2983080257514883,0.8301017432586666,5.0926,2.3173609977598346,0.5,0.5,
,5.0,1,0.9609572037153429,0.6973891989664082,1.3943626666666664,0.2983080257514883,0.8301017432586666,5.0926,2.3173609977598346,0.5,0.5,
,6.0,1,0.9609572037153429,0.6973891989664082,1.3943626666666664,0.2983080257514883,0.8301017432586666,5.0926,2.3173609977598346,0.5,0.5,
,7.0,1,0.9609572037153429,0.6973891989664082,1.3943626666666664,0.2983080257514883,0.8301017432586666,5.0926,2.3173609977598346,0.5,0.5,
,8.0,2,0.9609572037153429,0.6973891989664082,1.3943626666666664,0.2983080257514883,0.8301017432586666,5.0926,2.3173609977598346,0.5,0.5,
,9.0,2,0.9609572037153429,0.6973891989664082,1.3943626666666664,0.2983080257514883,0.8301017432586666,5.0926,2.3173609977598346,0.5,0.5,
,10.0,2,0.9609572037153429,0.6973891989664082,1.3943626666666664,0.2983080257514883,0.8301017432586666,5.0926,2.3173609977598346,0.5,0.5,
,11.0,2,1.6816751065018505,1.2204310981912143,2.4401346666666663,0.5220390450651046,1.4526780507026666,9.1667,2.317360997759835,0.5,0.5,
,12.0,2,1.6816751065018505,1.2204310981912143,2.4401346666666663,0.5220390450651046,1.4526780507026666,9.1667,2.317360997759835,0.5,0.5,
,13.0,2,1.6816751065018505,1.2204310981912143,2.4401346666666663,0.5220390450651046,1.4526780507026666,9.1667,2.317360997759835,0.5,0.5,
,14.0,2,1.6816751065018505,1.2204310981912143,2.4401346666666663,0.5220390450651046,1.4526780507026666,9.1667,2.317360997759835,0.5,0.5,
1.0,15.0,3,1.6816751065018505,1.2204310981912143,2.4401346666666663,0.5220390450651046,1.4526780507026666,9.1667,2.317360997759835,0.5,0.5,
2.0,16.0,3,1.6816751065018505,1.2204310981912143,2.4401346666666663,0.5220390450651046,1.4526780507026666,9.1667,2.317360997759835,0.5,0.5,
,17.0,3,1.6816751065018505,1.2204310981912143,2.4401346666666663,0.5220390450651046,1.4526780507026666,9.1667,2.317360997759835,0.5,0.5,
,18.0,3,2.4023930092883576,1.7434729974160204,3.4859066666666663,0.7457700643787208,2.0752543581466667,12.2222,2.317360997759835,0.5,0.5,
,19.0,3,2.4023930092883576,1.7434729974160204,3.4859066666666663,0.7457700643787208,2.0752543581466667,12.2222,2.317360997759835,0.5,0.5,
,20.0,3,2.4023930092883576,1.7434729974160204,3.4859066666666663,0.7457700643787208,2.0752543581466667,12.2222,2.317360997759835,0.5,0.5,
,21.0,3,2.4023930092883576,1.7434729974160204,3.4859066666666663,0.7457700643787208,2.0752543581466667,12.2222,2.317360997759835,0.5,0.5,
,22.0,4,2.4023930092883576,1.7434729974160204,3.4859066666666663,0.7457700643787208,2.0752543581466667,12.2222,2.317360997759835,0.5,0.5,
,23.0,4,2.4023930092883576,1.7434729974160204,3.4859066666666663,0.7457700643787208,2.0752543581466667,12.2222,2.317360997759835,0.5,0.5,
,24.0,4,2.4023930092883576,1.7434729974160204,3.4859066666666663,0.7457700643787208,2.0752543581466667,12.2222,2.317360997759835,0.5,0.5,
2.0,25.0,4,2.4023930092883576,1.7434729974160204,3.4859066666666663,0.7457700643787208,2.0752543581466667,12.2222,2.317360997759835,0.5,0.5,
3.0,26.0,4,2.4023930092883576,1.7434729974160204,3.4859066666666663,0.7457700643787208,2.0752543581466667,12.2222,2.317360997759835,0.5,0.5,
,27.0,4,2.4023930092883576,1.7434729974160204,3.4859066666666663,0.7457700643787208,2.0752543581466667,12.2222,2.317360997759835,0.5,0.5,
,28.0,4,2.4023930092883576,1.7434729974160204,3.4859066666666663,0.7457700643787208,2.0752543581466667,12.2222,2.317360997759835,0.5,0.5,
