Requerimientos Semanal para:,Columna_1,Columna_2,Columna_3,Columna_4,Fresa / Sweet Charly,Fresa / Sweet Charly_1,Fresa / Sweet Charly_2,Fresa / Sweet Charly_3,Fresa / Sweet Charly_4,Fresa / Sweet Charly_5,Columna_11,Columna_12
1,5.6525468759375,9.170191108976338,7.8250932368,12.828021699672131,8.63298068325,16.601885929326922,1.844653992147436,11.529087450921475,1.8136514040441178,6.717227422385621,35.6482,173.89365853658538
2,5.6525468759375,9.170191108976338,7.8250932368,12.828021699672131,8.63298068325,16.601885929326922,1.844653992147436,11.529087450921475,1.8136514040441178,6.717227422385621,51.944599999999994,253.38829268292682
3,14.150463631992192,22.95645814780902,19.5891692178,32.11339216032787,21.611617183406256,41.56080227578126,4.617866919531251,28.86166824707032,4.540255710799633,16.81576189185049,76.3889,372.62878048780493
4,14.150463631992192,22.95645814780902,19.5891692178,32.11339216032787,21.611617183406256,41.56080227578126,4.617866919531251,28.86166824707032,4.540255710799633,16.81576189185049,85.5554,417.34341463414637
5,14.150463631992192,22.95645814780902,19.5891692178,32.11339216032787,21.611617183406256,41.56080227578126,4.617866919531251,28.86166824707032,4.540255710799633,16.81576189185049,100.83349999999999,491.870731707317
6,14.150463631992192,22.95645814780902,19.5891692178,32.11339216032787,21.611617183406256,41.56080227578126,4.617866919531251,28.86166824707032,4.540255710799633,16.81576189185049,121.20429999999999,591.2404878048781
7,14.150463631992192,22.95645814780902,19.5891692178,32.11339216032787,21.611617183406256,41.56080227578126,4.617866919531251,28.86166824707032,4.540255710799633,16.81576189185049,133.4265,650.8609756097561
8,14.150463631992192,22.95645814780902,19.5891692178,32.11339216032787,21.611617183406256,41.56080227578126,4.617866919531251,28.86166824707032,4.540255710799633,16.81576189185049,163.98199999999997,799.9121951219511
9,14.150463631992192,22.95645814780902,19.5891692178,32.11339216032787,21.611617183406256,41.56080227578126,4.617866919531251,28.86166824707032,4.540255710799633,16.81576189185049,170.09319999999997,829.7229268292682
10,13.736976058330082,21.722166883146006,19.5891692178,32.11339216032787,21.611617183406256,41.56080227578126,4.617866919531251,28.86166824707032,4.540255710799633,16.81576189185049,206.76039999999995,1008.5873170731705
11,14.27075092614844,23.722079779891217,17.1016544074702,28.035499028639673,24.261736200975005,46.65718500187501,5.184131666875001,32.40082291796876,5.155422357683824,19.094156880310457,206.76039999999995,1008.5873170731705
12,15.717539769750001,30.17032518486809,10.8828673816457,17.84076619941918,27.795228224400002,53.452361970000005,5.939151330000001,37.119695812500005,6.043800000000001,22.384444444444448,231.2048,1127.828292682927
13,15.717539769750001,30.17032518486809,10.8828673816457,17.84076619941918,27.795228224400002,53.452361970000005,5.939151330000001,37.119695812500005,6.043800000000001,22.384444444444448,249.53810000000001,1217.2590243902441
14,15.717539769750001,30.17032518486809,10.8828673816457,17.84076619941918,27.795228224400002,53.452361970000005,5.939151330000001,37.119695812500005,6.043800000000001,22.384444444444448,249.53810000000001,1217.2590243902441
15,15.717539769750001,30.17032518486809,10.8828673816457,17.84076619941918,27.795228224400002,53.452361970000005,5.939151330000001,37.119695812500005,6.043800000000001,22.384444444444448,249.53810000000001,1217.2590243902441
16,15.717539769750001,30.17032518486809,10.8828673816457,17.84076619941918,27.795228224400002,53.452361970000005,5.939151330000001,37.119695812500005,6.043800000000001,22.384444444444448,249.53810000000001,1217.2590243902441
17,15.717539769750001,30.17032518486809,10.8828673816457,17.84076619941918,27.795228224400002,53.452361970000005,5.939151330000001,37.119695812500005,6.043800000000001,22.384444444444448,249.53810000000001,1217.2590243902441
18,15.717539769750001,30.17032518486809,10.8828673816457,17.84076619941918,27.795228224400002,53.452361970000005,5.939151330000001,37.119695812500005,6.043800000000001,22.384444444444448,249.53810000000001,1217.2590243902441
19,15.717539769750001,30.17032518486809,10.8828673816457,17.84076619941918,27.795228224400002,53.452361970000005,5.939151330000001,37.119695812500005,6.043800000000001,22.384444444444448,249.53810000000001,1217.2590243902441
20,15.717539769750001,30.17032518486809,10.8828673816457,17.84076619941918,27.795228224400002,53.452361970000005,5.939151330000001,37.119695812500005,6.043800000000001,22.384444444444448,249.53810000000001,1217.2590243902441
21,15.717539769750001,30.17032518486809,10.8828673816457,17.84076619941918,27.795228224400002,53.452361970000005,5.939151330000001,37.119695812500005,6.043800000000001,22.384444444444448,249.53810000000001,1217.2590243902441
22,15.717539769750001,30.17032518486809,10.8828673816457,17.84076619941918,27.795228224400002,53.452361970000005,5.939151330000001,37.119695812500005,6.043800000000001,22.384444444444448,249.53810000000001,1217.2590243902441
23,15.717539769750001,30.17032518486809,10.8828673816457,17.84076619941918,27.795228224400002,53.452361970000005,5.939151330000001,37.119695812500005,6.043800000000001,22.384444444444448,249.53810000000001,1217.2590243902441
24,15.717539769750001,30.17032518486809,10.8828673816457,17.84076619941918,27.795228224400002,53.452361970000005,5.939151330000001,37.119695812500005,6.043800000000001,22.384444444444448,249.53810000000001,1217.2590243902441
