Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Sulfato de Potasio (Lbs),Admin_Sulfato de Potasio_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Sin Calcio,Admin_Sulfato de Magnesio_Cambios_1,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39047,,2.6255249272252863,,1.535316883834317,,2.607995307613168,,3.229365722916666,,0.00016146828614583333,,24.866793170731707,,20.019999999999996,,85.57809025217401
2,8,39054,,2.6255249272252863,,1.535316883834317,,2.607995307613168,,3.229365722916666,,0.00016146828614583333,,24.866793170731707,,20.019999999999996,,85.57809025217401
3,15,39061,,4.200839883560458,,2.4565070141349072,,4.1727924921810695,,5.166985156666665,,0.00025834925783333335,,44.76032536585365,,20.019999999999996,,107.05210562232719
4,22,39068,,5.7761548398956295,,3.3776971444354964,,5.73758967674897,,7.104604590416664,,0.00035523022952083333,,59.680108292682924,,20.019999999999996,,128.36895051560234
5,29,39075,,5.7761548398956295,,3.3776971444354964,,5.73758967674897,,7.104604590416664,,0.00035523022952083333,,59.680108292682924,,20.019999999999996,,128.36895051560234
6,36,39082,,8.926784752565974,,5.220077405036678,,8.867184045884771,,10.979843457916663,,0.0005489921728958333,,84.54738975609757,,20.019999999999996,,170.84551611542088
7,43,39089,,8.926784752565974,,5.220077405036678,,8.867184045884771,,10.979843457916663,,0.0005489921728958333,,84.54738975609757,,20.019999999999996,,170.84551611542088
8,50,39096,,12.077414665236315,,7.062457665637859,,11.996778415020575,,14.855082325416662,,0.0007427541162708332,,114.387443902439,,20.019999999999996,,213.47922133201993
9,57,39103,,12.077414665236315,,7.062457665637859,,11.996778415020575,,14.855082325416662,,0.0007427541162708332,,114.387443902439,,20.019999999999996,,213.47922133201993
10,64,39110,,15.228044577906658,,8.904837926239036,,15.126372784156374,,18.730321192916662,,0.0009365160596458331,,144.2279863414634,,20.019999999999996,,256.1129419786678
11,71,39117,,15.228044577906658,,8.904837926239036,,15.126372784156374,,18.730321192916662,,0.0009365160596458331,,144.2279863414634,,20.019999999999996,,256.1129419786678
12,78,39124,,15.228044577906658,,8.904837926239036,,15.126372784156374,,18.730321192916662,,0.0009365160596458331,,144.2279863414634,,20.019999999999996,,256.1129419786678
13,85,39131,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
14,92,39138,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
15,99,39145,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
16,106,39152,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
17,113,39159,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
18,120,39166,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
19,127,39173,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
20,134,39180,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
21,141,39187,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
22,148,39194,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
23,155,39201,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
24,162,39208,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
25,169,39215,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
26,176,39222,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
27,183,39229,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
28,190,39236,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
29,197,39243,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
30,204,39250,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
31,211,39257,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
32,218,39264,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
33,225,39271,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
34,232,39278,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
35,239,39285,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
36,246,39292,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
37,253,39299,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
38,260,39306,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
39,267,39313,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
40,274,39320,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
41,281,39327,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
42,288,39334,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
43,295,39341,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
44,302,39348,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
45,309,39355,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
46,316,39362,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
47,323,39369,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
48,330,39376,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
49,337,39383,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
50,344,39390,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
51,351,39397,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,20.019999999999996,,298.74664719526686
52,358,39404,,18.378674490577,,10.74721818684022,,18.25596715329218,,22.605560060416657,,0.0011302780030208331,,174.06804048780486,,Protector K,5.004999999999999,649.0966471952668
