Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Sulfato de Potasio (Lbs),Admin_Sulfato de Potasio_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Nitrato de Calcio (Lbs),Admin_Nitrato de Calcio_Cambios,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
2,1,39815,,14.599304782053002,,17.652953043478263,,34.65506488888889,,15.421238112417338,,31.787169848462007,,427.70923317073175,,20.019999999999996,,903.5864747089922
4,15,39829,,24.180098545275285,,29.237703478260872,,57.397451222222216,,25.541425623691207,,52.647500061515224,,790.7621673170731,,20.019999999999996,,1463.073098731891
6,29,39843,,34.673348857375885,,41.92576347826086,,82.30577911111108,,36.62544051699118,,75.49452839009726,,1084.1943307317076,,20.019999999999996,,2071.676273511905
8,43,39857,,46.53528399279394,,56.268787826086964,,110.46301933333332,,49.15519648333025,,101.32160389197269,,1452.2239439024388,,20.019999999999996,,2761.1154186617423
10,57,39871,,58.39721912821197,,70.61181217391302,,138.62025955555558,,61.684952449669346,,127.14867939384806,,1840.148554146341,,20.019999999999996,,3451.3503636945065
12,71,39885,,67.5217846169951,,81.64490782608692,,160.2796751111111,,71.32322626993019,,147.0156605491368,,2138.5520253658533,,20.019999999999996,,3982.3003184071385
14,85,39899,,76.64635010577828,,92.67800347826086,,181.93909066666657,,80.96150009019104,,166.8826417044255,,2436.952566829269,,20.019999999999996,,4513.250155929526
16,99,39913,,38.323175052889134,,46.33900173913043,,90.9695453333333,,40.48075004509551,,83.44132085221277,,1218.4762834146343,,20.019999999999996,,2284.6530779647633
