Semana,DDT,FECHA,Admin_col_3_Cambios,Columna_4,Admin_col_5_Cambios,Columna_6,Admin_col_7_Cambios,Columna_8,Admin_col_9_Cambios,Columna_10,Admin_col_11_Cambios,Columna_12,Admin_col_13_Cambios,Columna_14,Admin_col_15_Cambios,Columna_16,Admin_col_17_Cambios,Admin_Costo / Aplicación,Columna_19
2,1,43832,,213.00451982776556,,99.2049180327869,,145.39896721183257,,93.31936351743127,,192.35540211848584,,2990.973658536586,,140.0,,5530.311749729854,
4,15,43846,,213.00451982776556,,99.2049180327869,,145.39896721183257,,93.31936351743127,,192.35540211848584,,5529.805365853659,,140.0,,5631.865018022537,
6,29,43860,,213.00451982776556,,99.2049180327869,,145.39896721183257,,93.31936351743127,,192.35540211848584,,7581.778536585369,,140.0,,5713.943944851805,
8,43,43874,,213.00451982776556,,99.2049180327869,,145.39896721183257,,93.31936351743127,,192.35540211848584,,10155.412195121951,,140.0,,5816.889291193268,
10,57,43888,,213.00451982776556,,99.2049180327869,,145.39896721183257,,93.31936351743127,,192.35540211848584,,12868.171707317071,,140.0,,5925.3996716810725,
12,71,43902,,213.00451982776556,,99.2049180327869,,145.39896721183257,,93.31936351743127,,192.35540211848584,,14954.909268292686,,140.0,,6008.869174120097,
14,85,43916,,213.00451982776556,,99.2049180327869,,145.39896721183257,,93.31936351743127,,192.35540211848584,,17041.62634146342,,140.0,,6092.337857046927,
16,99,43930,,213.00451982776556,,99.2049180327869,,145.39896721183257,,93.31936351743127,,192.35540211848584,,17041.62634146342,,140.0,,6092.337857046927,
18,113,43944,,203.34259576780377,,99.2049180327869,,167.0733474173231,,107.23032453866324,,221.02949932869492,,17041.62634146342,,140.0,,6493.205248754043,OJO
20,127,43958,,179.18778561789935,,99.2049180327869,,221.25929793104947,,142.00772709174325,,292.71474235421755,,17041.62634146342,,140.0,,7495.373728021834,OJO Inicia la Floracion
22,141,43972,,179.18778561789935,,99.2049180327869,,221.25929793104947,,142.00772709174325,,292.71474235421755,,17041.62634146342,,140.0,,7495.373728021834,
24,155,43986,,179.18778561789935,,99.2049180327869,,221.25929793104947,,142.00772709174325,,292.71474235421755,,17041.62634146342,,140.0,,7495.373728021834,
26,169,44000,,179.18778561789935,,99.2049180327869,,221.25929793104947,,142.00772709174325,,292.71474235421755,,17041.62634146342,,140.0,,7495.373728021834,
28,183,44014,,179.18778561789935,,99.2049180327869,,221.25929793104947,,142.00772709174325,,292.71474235421755,,17041.62634146342,,140.0,,7495.373728021834,
30,197,44028,,179.18778561789935,,99.2049180327869,,221.25929793104947,,142.00772709174325,,292.71474235421755,,17041.62634146342,,140.0,,7495.373728021834,
32,211,44042,,179.18778561789935,,99.2049180327869,,221.25929793104947,,142.00772709174325,,292.71474235421755,,17041.62634146342,,140.0,,7495.373728021834,
34,225,44056,,179.18778561789935,,99.2049180327869,,221.25929793104947,,142.00772709174325,,292.71474235421755,,17041.62634146342,,140.0,,7495.373728021834,
36,239,44070,,179.18778561789935,,99.2049180327869,,221.25929793104947,,142.00772709174325,,292.71474235421755,,17041.62634146342,,140.0,,7495.373728021834,
38,253,44084,,179.18778561789935,,99.2049180327869,,221.25929793104947,,142.00772709174325,,292.71474235421755,,17041.62634146342,,140.0,,7495.373728021834,
40,267,44098,,179.18778561789935,,99.2049180327869,,221.25929793104947,,142.00772709174325,,292.71474235421755,,17041.62634146342,,140.0,,7495.373728021834,
42,281,44112,,179.18778561789935,,99.2049180327869,,221.25929793104947,,142.00772709174325,,292.71474235421755,,17041.62634146342,,140.0,,7495.373728021834,
44,295,44126,,179.18778561789935,,99.2049180327869,,221.25929793104947,,142.00772709174325,,292.71474235421755,,17041.62634146342,,140.0,,7495.373728021834,
46,309,44140,,179.18778561789935,,99.2049180327869,,221.25929793104947,,142.00772709174325,,292.71474235421755,,17041.62634146342,,140.0,,7495.373728021834,
48,223,44054,,179.18778561789935,,99.2049180327869,,221.25929793104947,,142.00772709174325,,292.71474235421755,,17041.62634146342,,140.0,,7495.373728021834,
50,337,44168,,179.18778561789935,,99.2049180327869,,221.25929793104947,,142.00772709174325,,292.71474235421755,,17041.62634146342,,140.0,,7495.373728021834,
52,351,44182,,179.18778561789935,,99.2049180327869,,221.25929793104947,,142.00772709174325,,292.71474235421755,,17041.62634146342,,140.0,,7495.373728021834,
