Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),FofatoMonoPotasico (Lbs),FofatoMonoPotasico (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sin Magnecio,Sin Magnecio (Cambios),Sin Calcio,Sin Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39449,,34.330103050647665,,13.978512690907616,,16.301042921707896,,0.0001492434456218644,,0.0006921662268866036,,0.03568384819999999,,20.019999999999996,,439.3549036035043
2,8,39456,,49.04300435806808,,19.96930384415374,,23.287204173868425,,0.00021320492231694923,,0.000988808895552291,,0.05199654459999999,,20.019999999999996,,603.6258622907203
3,15,39463,,74.79058164605382,,30.453188362334465,,35.51298636514935,,0.0003251375065333475,,0.0015079335657172438,,0.0764652889,,20.019999999999996,,891.1000399933487
4,22,39470,,85.82525762661913,,34.94628172726906,,40.752607304269745,,0.000373108614054661,,0.0017304155672165093,,0.0856409554,,20.019999999999996,,1014.3032590087607
5,29,39477,,107.8946095877498,,43.93246845713823,,51.23184918251053,,0.00046905082909728826,,0.00217537957021504,,0.10093433349999999,,20.019999999999996,,1260.7096970395849
6,36,39484,,132.46995445626953,,52.71896214856588,,76.2422267070719,,0.0006538284284386443,,0.003032347279693692,,0.12132550429999997,,20.019999999999996,,1587.0054275317034
7,43,39491,,126.79079991674172,,47.12755707220283,,109.40008020004798,,0.0008386060277800003,,0.0038893149891723448,,0.13355992649999998,,20.019999999999996,,1663.104279629093
8,50,39498,,165.4727388743917,,61.50545583999353,,142.77637585429994,,0.0010944519345603395,,0.005075885663835096,,0.16414598199999997,,20.019999999999996,,2153.3901954481385
9,57,39505,,165.4727388743917,,61.50545583999353,,142.77637585429994,,0.0010944519345603395,,0.005075885663835096,,0.17026329319999997,,20.019999999999996,,2153.3901954481385
10,64,39512,,210.60166765831673,,78.2796710690827,,181.71538745092718,,0.0013929388258040677,,0.006460218117608302,,0.20696716039999993,,20.019999999999996,,2725.3904305703586
11,71,39519,,210.60166765831673,,78.2796710690827,,181.71538745092718,,0.0013929388258040677,,0.006460218117608302,,0.20696716039999993,,20.019999999999996,,2725.3904305703586
12,78,39526,,229.94263713714173,,85.46862045297803,,198.4035352780532,,0.0015208617791942379,,0.007053503454939678,,0.23143600479999996,,20.019999999999996,,2970.533388479881
13,85,39533,,255.73059644224173,,95.05388629817183,,220.6543990475545,,0.0016914257170477973,,0.00784455057138151,,0.24978763809999996,,20.019999999999996,,3297.390665692578
