Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),",@ Melaza (Lts)",",@ Melaza (Cambios)",Admin_Costo / Aplicación (Costo / Aplicación)
2,14,37802,,13.757674408411713,,15.17480026077519,,30.846230348266662,,24.746999911788745,,40.80798616565011,,333.6132018731708,,20.019999999999996,,692.8436875434776
4,28,37816,,26.50375511032257,,29.233806384728677,,59.42435552386665,,47.67436747712244,,78.6153851132377,,616.7944905073172,,20.019999999999996,,1307.0299832194632
6,42,37830,,40.46374826003443,,44.6317654728682,,90.72420690666667,,72.7852938582022,,120.02348872250032,,845.6715779707317,,20.019999999999996,,1977.14195822942
8,56,37844,,45.31939805123855,,49.98757732961238,,101.61111173546666,,81.51952912118645,,134.42630736920034,,1132.7346762439024,,20.019999999999996,,2216.7799204987173
10,70,37858,,45.31939805123855,,49.98757732961238,,101.61111173546666,,81.51952912118645,,134.42630736920034,,1435.315872234146,,20.019999999999996,,2226.341486292009
12,84,37872,,45.31939805123855,,49.98757732961238,,101.61111173546666,,81.51952912118645,,134.42630736920034,,1668.070579785366,,20.019999999999996,,2233.6965350506275
14,98,37886,,45.31939805123855,,49.98757732961238,,101.61111173546666,,81.51952912118645,,134.42630736920034,,1900.8230021268294,,20.019999999999996,,2241.0515115966177
16,112,37900,,45.31939805123855,,49.98757732961238,,101.61111173546666,,81.51952912118645,,134.42630736920034,,1900.8230021268294,,20.019999999999996,,2241.0515115966177
18,126,37914,,45.31939805123855,,49.98757732961238,,101.61111173546666,,81.51952912118645,,134.42630736920034,,1900.8230021268294,,20.019999999999996,,2241.0515115966177
20,140,37928,,45.31939805123855,,49.98757732961238,,101.61111173546666,,81.51952912118645,,134.42630736920034,,1900.8230021268294,,20.019999999999996,,2241.0515115966177
22,154,37942,,45.31939805123855,,49.98757732961238,,101.61111173546666,,81.51952912118645,,134.42630736920034,,1900.8230021268294,,20.019999999999996,,2241.0515115966177
24,168,37956,,45.31939805123855,,49.98757732961238,,101.61111173546666,,81.51952912118645,,134.42630736920034,,1900.8230021268294,,20.019999999999996,,2241.0515115966177
26,182,37970,,45.31939805123855,,49.98757732961238,,101.61111173546666,,81.51952912118645,,134.42630736920034,,1900.8230021268294,,20.019999999999996,,2241.0515115966177
28,196,37984,,45.31939805123855,,49.98757732961238,,101.61111173546666,,81.51952912118645,,134.42630736920034,,1900.8230021268294,,20.019999999999996,,2241.0515115966177
30,210,37998,OJO,45.31939805123855,,49.98757732961238,,101.61111173546666,,81.51952912118645,,134.42630736920034,,1900.8230021268294,,20.019999999999996,,2241.0515115966177
32,224,38012,,4.372048749782623,,33.32505155307493,,134.3524699613392,,107.78693294912429,,177.7414508548315,,1900.8230021268294,,20.019999999999996,,2363.4632577056523
34,238,38026,,4.372048749782623,,33.32505155307493,,134.3524699613392,,107.78693294912429,,177.7414508548315,,1900.8230021268294,,20.019999999999996,,2363.4632577056523
36,252,38040,,4.372048749782623,,33.32505155307493,,134.3524699613392,,107.78693294912429,,177.7414508548315,,1900.8230021268294,,20.019999999999996,,2363.4632577056523
38,266,38054,,4.372048749782623,,33.32505155307493,,134.3524699613392,,107.78693294912429,,177.7414508548315,,1900.8230021268294,,20.019999999999996,,2363.4632577056523
40,280,38068,,4.372048749782623,,33.32505155307493,,134.3524699613392,,107.78693294912429,,177.7414508548315,,1900.8230021268294,,20.019999999999996,,2363.4632577056523
42,294,38082,,4.372048749782623,,33.32505155307493,,134.3524699613392,,107.78693294912429,,177.7414508548315,,1900.8230021268294,,20.019999999999996,,2363.4632577056523
44,308,38096,,4.372048749782623,,33.32505155307493,,134.3524699613392,,107.78693294912429,,177.7414508548315,,1900.8230021268294,,20.019999999999996,,2363.4632577056523
46,322,38110,,4.372048749782623,,33.32505155307493,,134.3524699613392,,107.78693294912429,,177.7414508548315,,1900.8230021268294,,20.019999999999996,,2363.4632577056523
48,336,38124,,4.372048749782623,,33.32505155307493,,134.3524699613392,,107.78693294912429,,177.7414508548315,,1900.8230021268294,,20.019999999999996,,2363.4632577056523
50,350,38138,,4.372048749782623,,33.32505155307493,,134.3524699613392,,107.78693294912429,,177.7414508548315,,1900.8230021268294,,20.019999999999996,,2363.4632577056523
52,364,38152,,4.372048749782623,,33.32505155307493,,134.3524699613392,,107.78693294912429,,177.7414508548315,,1900.8230021268294,,20.019999999999996,,2363.4632577056523
