Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Sin Calcio,Sin Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39892,,8.115395183997201,,1.9586791304347824,,7.632264499999998,,4.898508421308262,,0.00027262158767949,,0.018715304999999995,,10.499999999999998,,164.9849984927393
2,8,39899,,8.115395183997201,,1.9586791304347824,,7.632264499999998,,4.898508421308262,,0.00027262158767949,,0.027270914999999996,,10.499999999999998,,164.9849984927393
3,15,39906,,8.115395183997201,,1.9586791304347824,,7.632264499999998,,4.898508421308262,,0.00027262158767949,,0.0401041725,,10.499999999999998,,164.9849984927393
4,22,39913,,7.706878293638031,,3.0026667391304347,,7.632264499999998,,4.898508421308262,,0.00027262158767949,,0.044916584999999995,,10.499999999999998,,171.35740807468636
5,29,39920,,11.00982613376862,,4.289523913043478,,10.903235000000002,,6.9978691732975165,,0.0003894594109707,,0.05293758749999999,,10.499999999999998,,232.196297249552
6,36,39927,,11.00982613376862,,4.289523913043478,,10.903235000000002,,6.9978691732975165,,0.0003894594109707,,0.06363225749999998,,10.499999999999998,,232.196297249552
7,43,39934,,11.00982613376862,,4.289523913043478,,10.903235000000002,,6.9978691732975165,,0.0003894594109707,,0.07004891249999999,,10.499999999999998,,232.196297249552
8,50,39941,,10.465620462691115,,5.680271739130433,,10.903235000000002,,6.9978691732975165,,0.0003894594109707,,0.08609054999999997,,10.499999999999998,,240.6853010453932
9,57,39948,,15.698430694036674,,8.52040760869565,,16.354852499999996,,10.496803759946271,,0.0005841891164560499,,0.08929892999999998,,10.499999999999998,,346.32795156808976
10,64,39955,,15.698430694036674,,8.52040760869565,,16.354852499999996,,10.496803759946271,,0.0005841891164560499,,0.10854920999999995,,10.499999999999998,,346.32795156808976
11,71,39962,,16.07507303808204,,7.557877173913042,,16.354852499999996,,10.496803759946271,,0.0005841891164560499,,0.10854920999999995,,10.499999999999998,,340.45274949247533
12,78,39969,,16.07507303808204,,7.557877173913042,,16.354852499999996,,10.496803759946271,,0.0005841891164560499,,0.12138251999999998,,10.499999999999998,,340.45274949247533
13,85,39976,,19.290087645698446,,9.06945260869565,,19.625822999999997,,12.596164511935529,,0.0007010269397472599,,0.13100750249999998,,10.499999999999998,,402.66329939097045
14,92,39983,,22.406246816606973,,9.06945260869565,,22.303575000000002,,14.314788220819706,,0.0007966752236415,,0.13100750249999998,,10.499999999999998,,446.03821781543604
15,99,39990,,22.406246816606973,,9.06945260869565,,22.303575000000002,,14.314788220819706,,0.0007966752236415,,0.13100750249999998,,10.499999999999998,,446.03821781543604
16,106,39997,,22.406246816606973,,9.06945260869565,,22.303575000000002,,14.314788220819706,,0.0007966752236415,,0.13100750249999998,,10.499999999999998,,446.03821781543604
17,113,40004,,24.895829796229965,,10.07716956521739,,24.781749999999995,,15.905320245355231,,0.0008851946929350001,,0.13100750249999998,,10.499999999999998,,492.3313531282622
18,120,40011,,24.895829796229965,,10.07716956521739,,24.781749999999995,,15.905320245355231,,0.0008851946929350001,,0.13100750249999998,,10.499999999999998,,492.3313531282622
19,127,40018,,24.895829796229965,,10.07716956521739,,24.781749999999995,,15.905320245355231,,0.0008851946929350001,,0.13100750249999998,,10.499999999999998,,492.3313531282622
20,134,40025,,24.895829796229965,,10.07716956521739,,24.781749999999995,,15.905320245355231,,0.0008851946929350001,,0.13100750249999998,,10.499999999999998,,492.3313531282622
21,141,40032,,24.895829796229965,,10.07716956521739,,24.781749999999995,,15.905320245355231,,0.0008851946929350001,,0.13100750249999998,,10.499999999999998,,492.3313531282622
22,148,40039,,24.895829796229965,,10.07716956521739,,24.781749999999995,,15.905320245355231,,0.0008851946929350001,,0.13100750249999998,,10.499999999999998,,492.3313531282622
23,155,40046,,24.895829796229965,,10.07716956521739,,24.781749999999995,,15.905320245355231,,0.0008851946929350001,,0.13100750249999998,,10.499999999999998,,492.3313531282622
24,162,40053,,24.895829796229965,,10.07716956521739,,24.781749999999995,,15.905320245355231,,0.0008851946929350001,,0.13100750249999998,,10.499999999999998,,492.3313531282622
25,169,40060,,24.895829796229965,,10.07716956521739,,24.781749999999995,,15.905320245355231,,0.0008851946929350001,,0.13100750249999998,,10.499999999999998,,492.3313531282622
26,176,40067,,24.895829796229965,,10.07716956521739,,24.781749999999995,,15.905320245355231,,0.0008851946929350001,,0.13100750249999998,,10.499999999999998,,492.3313531282622
27,183,40074,,27.38852252658215,,10.07716956521739,,27.280749999999994,,17.509218085222983,,0.0009744580233149998,,0.13100750249999998,,10.499999999999998,,530.71278411271
28,190,40081,,27.803971314974184,,10.07716956521739,,27.280749999999994,,17.509218085222983,,0.0009744580233149998,,0.13100750249999998,,10.499999999999998,,532.8108004940898
29,197,40088,,27.803971314974184,,10.07716956521739,,27.280749999999994,,17.509218085222983,,0.0009744580233149998,,0.13100750249999998,,10.499999999999998,,532.8108004940898
30,204,40095,,27.803971314974184,,10.07716956521739,,27.280749999999994,,17.509218085222983,,0.0009744580233149998,,0.13100750249999998,,10.499999999999998,,532.8108004940898
31,211,40102,,24.629250157011736,,10.07716956521739,,27.280749999999994,,17.509218085222983,,0.0009744580233149998,,0.13100750249999998,,10.499999999999998,,516.7784586463794
32,218,40109,,24.629250157011736,,10.07716956521739,,27.280749999999994,,17.509218085222983,,0.0009744580233149998,,0.13100750249999998,,10.499999999999998,,516.7784586463794
33,225,40116,,24.629250157011736,,10.07716956521739,,27.280749999999994,,17.509218085222983,,0.0009744580233149998,,0.13100750249999998,,10.499999999999998,,516.7784586463794
34,232,40123,,24.629250157011736,,10.07716956521739,,27.280749999999994,,17.509218085222983,,0.0009744580233149998,,0.13100750249999998,,10.499999999999998,,516.7784586463794
35,239,40130,,24.629250157011736,,10.07716956521739,,27.280749999999994,,17.509218085222983,,0.0009744580233149998,,0.13100750249999998,,10.499999999999998,,516.7784586463794
36,246,40137,,24.629250157011736,,10.07716956521739,,27.280749999999994,,17.509218085222983,,0.0009744580233149998,,0.13100750249999998,,10.499999999999998,,516.7784586463794
37,253,40144,,24.629250157011736,,10.07716956521739,,27.280749999999994,,17.509218085222983,,0.0009744580233149998,,0.13100750249999998,,10.499999999999998,,516.7784586463794
38,260,40151,,24.629250157011736,,10.07716956521739,,27.280749999999994,,17.509218085222983,,0.0009744580233149998,,0.13100750249999998,,10.499999999999998,,516.7784586463794
39,267,40158,,24.629250157011736,,10.07716956521739,,27.280749999999994,,17.509218085222983,,0.0009744580233149998,,0.13100750249999998,,10.499999999999998,,516.7784586463794
40,274,40165,,18.32894212753099,,10.07716956521739,,28.708119999999997,,18.425326792582737,,0.0010254431373143999,,0.13100750249999998,,10.499999999999998,,499.69444783160765
41,281,40172,,18.32894212753099,,10.07716956521739,,28.708119999999997,,18.425326792582737,,0.0010254431373143999,,0.13100750249999998,,10.499999999999998,,499.69444783160765
42,288,40179,,18.32894212753099,,10.07716956521739,,28.708119999999997,,18.425326792582737,,0.0010254431373143999,,0.13100750249999998,,10.499999999999998,,499.69444783160765
43,295,40186,,18.32894212753099,,10.07716956521739,,28.708119999999997,,18.425326792582737,,0.0010254431373143999,,0.13100750249999998,,10.499999999999998,,499.69444783160765
44,302,40193,,18.32894212753099,,10.07716956521739,,28.708119999999997,,18.425326792582737,,0.0010254431373143999,,0.13100750249999998,,10.499999999999998,,499.69444783160765
45,309,40200,,18.32894212753099,,10.07716956521739,,28.708119999999997,,18.425326792582737,,0.0010254431373143999,,0.13100750249999998,,10.499999999999998,,499.69444783160765
46,316,40207,,18.32894212753099,,10.07716956521739,,28.708119999999997,,18.425326792582737,,0.0010254431373143999,,0.13100750249999998,,10.499999999999998,,499.69444783160765
47,323,40214,,12.760896529485672,,10.07716956521739,,28.708119999999997,,18.425326792582737,,0.0010254431373143999,,0.13100750249999998,,10.499999999999998,,471.5758175614788
48,330,40221,,14.904563826272058,,4.598908695652172,,28.708119999999997,,18.425326792582737,,0.0010254431373143999,,0.13100750249999998,,10.499999999999998,,438.136989584163
49,337,40228,,15.26184170906979,,3.6858652173913034,,28.708119999999997,,18.425326792582737,,0.0010254431373143999,,0.13100750249999998,,10.499999999999998,,432.5638515879438
50,344,40235,,15.26184170906979,,3.6858652173913034,,28.708119999999997,,18.425326792582737,,0.0010254431373143999,,0.13100750249999998,,10.499999999999998,,432.5638515879438
51,351,40242,,15.26184170906979,,3.6858652173913034,,28.708119999999997,,18.425326792582737,,0.0010254431373143999,,0.13100750249999998,,10.499999999999998,,432.5638515879438
52,358,40249,,15.26184170906979,,3.6858652173913034,,28.708119999999997,,18.425326792582737,,0.0010254431373143999,,0.13100750249999998,,10.499999999999998,,432.5638515879438
