Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Sin Calcio,Sin Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39815,,1.7692591632323766,,1.0103375622651636,,1.5502888498491083,,0.9949999749676071,,5.53757286068472e-05,,49.733586341463415,,20.019999999999996,,94.47018766827435
2,8,39822,,1.7692591632323766,,1.0103375622651636,,1.5502888498491083,,0.9949999749676071,,5.53757286068472e-05,,49.733586341463415,,20.019999999999996,,94.47018766827435
3,15,39829,,3.096203535656658,,1.7680907339640366,,2.71300548723594,,1.7412499561933126,,9.690752506198263e-05,,89.5206507317073,,20.019999999999996,,123.38030340484598
4,22,39836,,4.4231479080809395,,2.5258439056629096,,3.8757221246227704,,2.4874999374190176,,0.00013843932151711802,,119.36021658536585,,20.019999999999996,,151.89251919995417
5,29,39843,,4.4231479080809395,,2.5258439056629096,,3.8757221246227704,,2.4874999374190176,,0.00013843932151711802,,119.36021658536585,,20.019999999999996,,151.89251919995417
6,36,39850,,7.077036652929507,,4.041350249060654,,6.201155399396433,,3.9799998998704282,,0.0002215029144273888,,169.09477951219515,,20.019999999999996,,208.5191680389511
7,43,39857,,7.077036652929507,,4.041350249060654,,6.201155399396433,,3.9799998998704282,,0.0002215029144273888,,169.09477951219515,,20.019999999999996,,208.5191680389511
8,50,39864,,9.730925397778067,,5.5568565924583995,,8.526588674170094,,5.472499862321838,,0.0003045665073376596,,228.774887804878,,20.019999999999996,,265.54363869258214
9,57,39871,,9.730925397778067,,5.5568565924583995,,8.526588674170094,,5.472499862321838,,0.0003045665073376596,,228.774887804878,,20.019999999999996,,265.54363869258214
10,64,39878,,12.384814142626633,,7.072362935856146,,10.85202194894376,,6.96499982477325,,0.00038763010024793054,,288.4559726829268,,20.019999999999996,,322.56814840962784
11,71,39885,,12.384814142626633,,7.072362935856146,,10.85202194894376,,6.96499982477325,,0.00038763010024793054,,288.4559726829268,,20.019999999999996,,322.56814840962784
12,78,39892,,12.384814142626633,,7.072362935856146,,10.85202194894376,,6.96499982477325,,0.00038763010024793054,,288.4559726829268,,20.019999999999996,,322.56814840962784
13,85,39899,,15.0387028874752,,8.58786927925389,,13.17745522371742,,8.457499787224661,,0.0004706936931582013,,348.13608097560973,,20.019999999999996,,379.59261906325884
14,92,39906,,15.0387028874752,,8.58786927925389,,13.17745522371742,,8.457499787224661,,0.0004706936931582013,,348.13608097560973,,20.019999999999996,,379.59261906325884
15,99,39913,,15.0387028874752,,8.58786927925389,,13.17745522371742,,8.457499787224661,,0.0004706936931582013,,348.13608097560973,,20.019999999999996,,379.59261906325884
16,106,39920,,15.0387028874752,,8.58786927925389,,13.17745522371742,,8.457499787224661,,0.0004706936931582013,,348.13608097560973,,20.019999999999996,,379.59261906325884
17,113,39927,,15.0387028874752,,8.58786927925389,,13.17745522371742,,8.457499787224661,,0.0004706936931582013,,348.13608097560973,,20.019999999999996,,379.59261906325884
18,120,39934,,15.0387028874752,,8.58786927925389,,13.17745522371742,,8.457499787224661,,0.0004706936931582013,,348.13608097560973,,20.019999999999996,,379.59261906325884
19,127,39941,,15.0387028874752,,8.58786927925389,,13.17745522371742,,8.457499787224661,,0.0004706936931582013,,348.13608097560973,,20.019999999999996,,379.59261906325884
20,134,39948,,15.0387028874752,,8.58786927925389,,13.17745522371742,,8.457499787224661,,0.0004706936931582013,,348.13608097560973,,20.019999999999996,,379.59261906325884
21,141,39955,,15.0387028874752,,8.58786927925389,,13.17745522371742,,8.457499787224661,,0.0004706936931582013,,348.13608097560973,,20.019999999999996,,379.59261906325884
22,148,39962,,15.0387028874752,,8.58786927925389,,13.17745522371742,,8.457499787224661,,0.0004706936931582013,,348.13608097560973,,20.019999999999996,,379.59261906325884
23,155,39969,,15.0387028874752,,8.58786927925389,,13.17745522371742,,8.457499787224661,,0.0004706936931582013,,348.13608097560973,,20.019999999999996,,379.59261906325884
24,162,39976,,11.361019692695137,,6.870295423403111,,14.057204104702334,,9.022136573874432,,0.0005021179888824077,,348.13608097560973,,20.019999999999996,,363.3628883233302
25,169,39983,,11.361019692695137,,6.870295423403111,,14.057204104702334,,9.022136573874432,,0.0005021179888824077,,348.13608097560973,,20.019999999999996,,363.3628883233302
26,176,39990,,11.361019692695137,,6.870295423403111,,14.057204104702334,,9.022136573874432,,0.0005021179888824077,,348.13608097560973,,20.019999999999996,,363.3628883233302
27,183,39997,,11.361019692695137,,6.870295423403111,,14.057204104702334,,9.022136573874432,,0.0005021179888824077,,348.13608097560973,,20.019999999999996,,363.3628883233302
28,190,40004,,11.361019692695137,,6.870295423403111,,14.057204104702334,,9.022136573874432,,0.0005021179888824077,,348.13608097560973,,20.019999999999996,,363.3628883233302
29,197,40011,,11.361019692695137,,6.870295423403111,,14.057204104702334,,9.022136573874432,,0.0005021179888824077,,348.13608097560973,,20.019999999999996,,363.3628883233302
30,204,40018,,11.361019692695137,,6.870295423403111,,14.057204104702334,,9.022136573874432,,0.0005021179888824077,,348.13608097560973,,20.019999999999996,,363.3628883233302
