Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Nitrato de Amonio (Lbs),Nitrato de Amonio (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Sin Boro,Sin Boro (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,3,39854,,9.418286534454612,,33.668634999999995,,18.11601458333333,,11.627145521096866,,23.966561364115737,,0.03568384819999999,,40.03999999999999,,1053.8082100078561
2,10,39861,,9.418286534454612,,33.668634999999995,,18.11601458333333,,11.627145521096866,,23.966561364115737,,0.05199654459999999,,40.03999999999999,,1053.8082100078561
3,17,39868,,45.21753525492149,,33.668634999999995,,41.69165,,26.758362295127032,,55.15592204344444,,0.0764652889,,40.03999999999999,,1899.4830764850599
4,24,39875,,45.21753525492149,,33.668634999999995,,41.69165,,26.758362295127032,,55.15592204344444,,0.0856409554,,40.03999999999999,,1899.4830764850599
5,31,39882,,47.22079140485326,,23.155088478260865,,44.91788884916665,,28.829013564064926,,59.42407114423964,,0.10093433349999999,,40.03999999999999,,1871.0944253552807
6,38,39889,,52.455786741615924,,23.155088478260865,,51.82827983666665,,33.264212114482255,,68.56616522294055,,0.12132550429999997,,40.03999999999999,,2086.3734372508884
7,45,39896,,41.00450161594509,,23.155088478260865,,55.38199666999999,,35.54504394820974,,73.26755095902462,,0.13355992649999998,,40.03999999999999,,2109.3929809407355
8,52,39903,,32.41603777169197,,23.155088478260865,,58.04728429499999,,37.255667823505355,,76.79359026108769,,0.16414598199999997,,40.03999999999999,,2126.657638708121
9,59,39910,,32.41603777169197,,23.155088478260865,,58.04728429499999,,37.255667823505355,,76.79359026108769,,0.17026329319999997,,40.03999999999999,,2126.657638708121
10,66,39917,,32.41603777169197,,23.155088478260865,,58.04728429499999,,37.255667823505355,,76.79359026108769,,0.20696716039999993,,40.03999999999999,,2126.657638708121
11,73,39924,,32.41603777169197,,23.155088478260865,,58.04728429499999,,37.255667823505355,,76.79359026108769,,0.20696716039999993,,40.03999999999999,,2126.657638708121
12,80,39931,,32.41603777169197,,23.155088478260865,,58.04728429499999,,37.255667823505355,,76.79359026108769,,0.23143600479999996,,40.03999999999999,,2126.657638708121
13,87,39938,,32.41603777169197,,23.155088478260865,,58.04728429499999,,37.255667823505355,,76.79359026108769,,0.24978763809999996,,40.03999999999999,,2126.657638708121
