Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sin Magnecio,Admin_Kcl Soluble_Cambios_1,Sin Calcio,Admin_Kcl Soluble_Cambios_2,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39449,,8.582225310239728,,2.1284053041346467,,6.521211862519684,,5.357334034856974e-05,,0.00018634816773495627,,49.733586341463415,,20.019999999999996,,135.79059331890028
2,8,39456,,8.582225310239728,,2.1284053041346467,,6.521211862519684,,5.357334034856974e-05,,0.00018634816773495627,,49.733586341463415,,20.019999999999996,,135.79059331890028
3,15,39463,,11.83128302921635,,3.1926079562019707,,9.781817793779526,,8.03600105228546e-05,,0.00027952225160243445,,89.5206507317073,,20.019999999999996,,172.03437833575077
4,22,39470,,15.775044038955132,,4.256810608269293,,13.042423725039368,,0.00010714668069713948,,0.00037269633546991253,,119.36021658536585,,20.019999999999996,,210.69381173872463
5,29,39477,,14.385637457430807,,4.256810608269293,,13.042423725039368,,0.00010714668069713948,,0.00037269633546991253,,119.36021658536585,,20.019999999999996,,205.06671508355112
6,36,39484,,21.5784561861462,,6.385215912403941,,19.56363558755905,,0.0001607200210457092,,0.0005590445032048689,,169.09477951219515,,20.019999999999996,,279.1742508106925
7,43,39491,,20.536401250002957,,6.385215912403941,,19.56363558755905,,0.0001607200210457092,,0.0005590445032048689,,169.09477951219515,,20.019999999999996,,274.95392831931235
8,50,39498,,27.381868333337284,,8.513621216538587,,26.084847450078737,,0.00021429336139427895,,0.0007453926709398251,,228.774887804878,,20.019999999999996,,348.0525116972945
9,57,39505,,23.213648588764304,,8.513621216538587,,26.084847450078737,,0.00021429336139427895,,0.0007453926709398251,,228.774887804878,,20.019999999999996,,331.171221731774
10,64,39512,,34.54049188366646,,14.189368694230982,,41.66329801054241,,0.00034227411889364005,,0.001190557738306665,,288.4559726829268,,20.019999999999996,,485.0800326396115
11,71,39519,,32.321300815954,,14.189368694230982,,41.66329801054241,,0.00034227411889364005,,0.001190557738306665,,288.4559726829268,,20.019999999999996,,476.092308815376
