Semana,DDT,FECHA,Admin_col_3_Cambios,Urea (Lbs),Admin_Urea_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Kcl Soluble (Lbs),Admin_Kcl Soluble_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Sin Calcio,Admin_Sulfato de Magnesio_Cambios_1,Sin Boro,Admin_Sulfato de Magnesio_Cambios_2,Sin Melaza,Admin_Sulfato de Magnesio_Cambios_3,Admin_Costo / Aplicación
1,1,39449,,10.838710680529301,,1.858378260869565,,7.44744,,7.169578983398938,,5.320394535456e-13,,0.005097692599999999,,0.0,,219.02488668599915
2,8,39456,,10.838710680529301,,1.858378260869565,,7.44744,,7.169578983398938,,5.320394535456e-13,,0.005097692599999999,,0.0,,219.02488668599915
3,15,39463,,10.838710680529301,,1.858378260869565,,7.44744,,7.169578983398938,,5.320394535456e-13,,0.009175866699999998,,0.0,,219.02488668599915
4,22,39470,,10.838710680529301,,1.858378260869565,,7.44744,,7.169578983398938,,5.320394535456e-13,,0.0122344222,,0.0,,219.02488668599915
5,29,39477,,10.838710680529301,,1.858378260869565,,7.44744,,7.169578983398938,,5.320394535456e-13,,0.0122344222,,0.0,,219.02488668599915
