Semana (Semana),DDT (DDT),FECHA,Seleccioné su opción (Preventivos),Urea (Lbs),Urea (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Preventivos (Dosis),Preventivos (Unidades),Admin_Costo / Aplicación (Costo / Aplicación)
21,143,39957,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
22,150,39964,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
23,157,39971,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
24,164,39978,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
25,171,39985,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
26,178,39992,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
27,185,39999,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
28,192,40006,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
29,199,40013,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
30,206,40020,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
31,213,40027,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
32,220,40034,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
33,227,40041,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
34,234,40048,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
35,241,40055,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
36,248,40062,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
37,255,40069,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
38,262,40076,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
39,269,40083,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
40,276,40090,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
41,283,40097,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
42,290,40104,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
43,297,40111,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
44,304,40118,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
45,311,40125,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
46,318,40132,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
47,325,40139,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
48,332,40146,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
49,339,40153,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
50,346,40160,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
51,353,40167,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
52,360,40174,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
