Semana (Semana),DDT (DDT),FECHA,Seleccioné su opción (Preventivos),Urea (Lbs),Urea (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Preventivos (Dosis),Preventivos (Unidades),Admin_Costo / Aplicación (Costo / Aplicación)
1,3,39817,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,87.03377609756097,,20.019999999999996,0.0,0.0,444.34261214151076
2,10,39824,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,126.82084048780487,,20.019999999999996,0.0,0.0,445.9340947171205
3,17,39831,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,186.50070463414633,,20.019999999999996,0.0,0.0,448.32128928297413
4,24,39838,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,208.88037902439024,,20.019999999999996,0.0,0.0,449.2164762585839
5,31,39845,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,246.18130121951222,,20.019999999999996,0.0,0.0,450.7085131463888
6,38,39852,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,295.9158641463415,,20.019999999999996,0.0,0.0,452.69789566346196
7,45,39859,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,325.75591829268296,,20.019999999999996,0.0,0.0,453.8914978293156
8,52,39866,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,400.35605365853655,,20.019999999999996,0.0,0.0,456.87550324394977
9,59,39873,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,415.27632487804874,,20.019999999999996,0.0,0.0,457.47231409273024
10,66,39880,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,504.797952195122,,20.019999999999996,0.0,0.0,461.05317918541317
11,73,39887,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,504.797952195122,,20.019999999999996,0.0,0.0,461.05317918541317
12,80,39894,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,564.4780604878048,,20.019999999999996,0.0,0.0,463.4403835171205
13,87,39901,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
14,94,39908,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
15,101,39915,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
16,108,39922,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
17,115,39929,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
18,122,39936,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
19,129,39943,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
20,136,39950,,4.144175433965109,,5.468906065573771,,7.002709382523021,,4.49444996072442,,9.264226596820627,,609.2381417073171,,20.019999999999996,0.0,0.0,465.230786765901
