Semana,N,Nitrato de Amonio,P2O5,MAP 12-61-0,K2O,Sulfato de Potasio,MgO,Sulfato de Magnesio,Ca,Nitrato de Calcio,B,Solubor
1,1.2459459024024024,1.073206698893538,0.8442991640416665,1.3840969902322402,2.107696141732284,4.0532618110236225,0.3607340844414577,2.2545880277591106,1.2547684209690555,4.647290448033538,5.0926,24.841951219512197
2,1.2459459024024024,1.073206698893538,0.8442991640416665,1.3840969902322402,2.107696141732284,4.0532618110236225,0.3607340844414577,2.2545880277591106,1.2547684209690555,4.647290448033538,5.0926,24.841951219512197
3,2.180405329204204,1.8781117230636906,1.4775235370729165,2.4221697329064207,3.688468248031496,7.093208169291338,0.6312846477725509,3.945529048578443,2.1958447366958467,8.13275828405869,9.1667,44.715609756097564
4,3.114864756006006,2.683016747233844,2.110747910104167,3.4602424755806016,5.26924035433071,10.133154527559057,0.9018352111036443,5.6364700693977765,3.1369210524226387,11.618226120083847,12.2222,59.62048780487805
5,3.114864756006006,2.683016747233844,2.110747910104167,3.4602424755806016,5.26924035433071,10.133154527559057,0.9018352111036443,5.6364700693977765,3.1369210524226387,11.618226120083847,12.2222,59.62048780487805
6,4.98378360960961,4.292826795574152,3.377196656166666,5.536387960928961,8.430784566929136,16.21304724409449,1.4429363377658309,9.018352111036442,5.019073683876222,18.589161792134153,17.3149,84.46292682926831
7,4.98378360960961,4.292826795574152,3.377196656166666,5.536387960928961,8.430784566929136,16.21304724409449,1.4429363377658309,9.018352111036442,5.019073683876222,18.589161792134153,17.3149,84.46292682926831
8,7.6141138480146795,5.547436926606339,4.643645402229166,7.612533446277321,14.168401841644794,27.24692661854768,2.424934678745354,15.155841742158463,8.434832163180872,31.240119122892114,23.426,114.27317073170731
9,7.6141138480146795,5.547436926606339,4.643645402229166,7.612533446277321,14.168401841644794,27.24692661854768,2.424934678745354,15.155841742158463,8.434832163180872,31.240119122892114,23.426,114.27317073170731
10,8.237086799215882,3.5436347720294825,3.9400627655277782,6.459119287750457,18.360375279090118,35.308413998250224,3.142394691134476,19.639966819590473,10.930427133774883,40.48306345842549,29.5372,144.0839024390244
11,8.237086799215882,3.5436347720294825,3.9400627655277782,6.459119287750457,18.360375279090118,35.308413998250224,3.142394691134476,19.639966819590473,10.930427133774883,40.48306345842549,29.5372,144.0839024390244
12,8.237086799215882,3.5436347720294825,3.9400627655277782,6.459119287750457,18.360375279090118,35.308413998250224,3.142394691134476,19.639966819590473,10.930427133774883,40.48306345842549,29.5372,144.0839024390244
13,8.23708679921588,1.4709970016184941,4.784361929569444,7.8432162779826955,19.906019116360458,38.28080599300088,3.406933019724878,21.293331373280488,11.850590642485523,43.89107645365008,35.6483,173.89414634146343
14,8.23708679921588,1.4709970016184941,4.784361929569444,7.8432162779826955,19.906019116360458,38.28080599300088,3.406933019724878,21.293331373280488,11.850590642485523,43.89107645365008,35.6483,173.89414634146343
15,8.23708679921588,1.4709970016184941,4.784361929569444,7.8432162779826955,19.906019116360458,38.28080599300088,3.406933019724878,21.293331373280488,11.850590642485523,43.89107645365008,35.6483,173.89414634146343
16,8.23708679921588,1.4709970016184941,4.784361929569444,7.8432162779826955,19.906019116360458,38.28080599300088,3.406933019724878,21.293331373280488,11.850590642485523,43.89107645365008,35.6483,173.89414634146343
17,8.23708679921588,1.4709970016184941,4.784361929569444,7.8432162779826955,19.906019116360458,38.28080599300088,3.406933019724878,21.293331373280488,11.850590642485523,43.89107645365008,35.6483,173.89414634146343
18,8.23708679921588,1.4709970016184941,4.784361929569444,7.8432162779826955,19.906019116360458,38.28080599300088,3.406933019724878,21.293331373280488,11.850590642485523,43.89107645365008,35.6483,173.89414634146343
19,8.23708679921588,1.4709970016184941,4.784361929569444,7.8432162779826955,19.906019116360458,38.28080599300088,3.406933019724878,21.293331373280488,11.850590642485523,43.89107645365008,35.6483,173.89414634146343
20,8.23708679921588,1.4709970016184941,4.784361929569444,7.8432162779826955,19.906019116360458,38.28080599300088,3.406933019724878,21.293331373280488,11.850590642485523,43.89107645365008,35.6483,173.89414634146343
21,8.23708679921588,1.4709970016184941,4.784361929569444,7.8432162779826955,19.906019116360458,38.28080599300088,3.406933019724878,21.293331373280488,11.850590642485523,43.89107645365008,35.6483,173.89414634146343
22,8.23708679921588,1.4709970016184941,4.784361929569444,7.8432162779826955,19.906019116360458,38.28080599300088,3.406933019724878,21.293331373280488,11.850590642485523,43.89107645365008,35.6483,173.89414634146343
