Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Sulfato de Potasio (Lbs),Sulfato de Potasio (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39815,,1.8249130977566252,,2.2066191304347824,,4.331883111111112,,1.9276547640521668,,3.9733962310577513,,49.733586341463415,,20.019999999999996,,161.84810662642892
2,8,39822,,1.8249130977566252,,2.2066191304347824,,4.331883111111112,,1.9276547640521668,,3.9733962310577513,,49.733586341463415,,20.019999999999996,,161.84810662642892
3,15,39829,,2.737369646634938,,3.3099286956521734,,6.497824666666666,,2.8914821460782507,,5.960094346586628,,89.5206507317073,,20.019999999999996,,215.34097078842387
4,22,39836,,3.6498261955132505,,4.413238260869565,,8.663766222222224,,3.8553095281043337,,7.946792462115503,,119.36021658536585,,20.019999999999996,,268.4359350089554
5,29,39843,,3.6498261955132505,,4.413238260869565,,8.663766222222224,,3.8553095281043337,,7.946792462115503,,119.36021658536585,,20.019999999999996,,268.4359350089554
6,36,39850,,5.474739293269876,,6.619857391304347,,12.995649333333333,,5.782964292156501,,11.920188693173255,,169.09477951219515,,20.019999999999996,,374.22808069879903
7,43,39857,,5.474739293269876,,6.619857391304347,,12.995649333333333,,5.782964292156501,,11.920188693173255,,169.09477951219515,,20.019999999999996,,374.22808069879903
8,50,39864,,7.299652391026501,,8.82647652173913,,17.327532444444447,,7.710619056208667,,15.893584924231005,,228.774887804878,,20.019999999999996,,480.41804820327667
9,57,39871,,7.299652391026501,,8.82647652173913,,17.327532444444447,,7.710619056208667,,15.893584924231005,,228.774887804878,,20.019999999999996,,480.41804820327667
10,64,39878,,9.124565488783121,,11.033095652173909,,21.659415555555558,,9.638273820260835,,19.866981155288762,,288.4559726829268,,20.019999999999996,,586.608054771169
11,71,39885,,9.124565488783121,,11.033095652173909,,21.659415555555558,,9.638273820260835,,19.866981155288762,,288.4559726829268,,20.019999999999996,,586.608054771169
12,78,39892,,9.124565488783121,,11.033095652173909,,21.659415555555558,,9.638273820260835,,19.866981155288762,,288.4559726829268,,20.019999999999996,,586.608054771169
13,85,39899,,10.949478586539753,,13.239714782608694,,25.991298666666665,,11.565928584313003,,23.84037738634651,,348.13608097560973,,20.019999999999996,,692.7980222756469
14,92,39906,,10.949478586539753,,13.239714782608694,,25.991298666666665,,11.565928584313003,,23.84037738634651,,348.13608097560973,,20.019999999999996,,692.7980222756469
15,99,39913,,10.949478586539753,,13.239714782608694,,25.991298666666665,,11.565928584313003,,23.84037738634651,,348.13608097560973,,20.019999999999996,,692.7980222756469
