Semana,N,Nitrato de Amonio,P2O5,DAP 18-46-0,K2O,Kcl Soluble,MgO,Sulfato de Magnesio,Ca,Nitrato de Calcio,B,Solubor
1,3.0888645808599287,2.82163290069138,1.7434729974160204,3.7901586900348265,5.345056888888888,8.908428148148147,0.914811278971231,5.717570493570194,2.5456453459932447,9.428316096271276,5.0926,24.841951219512197
2,3.0888645808599287,2.82163290069138,1.7434729974160204,3.7901586900348265,5.345056888888888,8.908428148148147,0.914811278971231,5.717570493570194,2.5456453459932447,9.428316096271276,5.0926,24.841951219512197
3,5.405513016504875,4.937857576209913,3.051077745478036,6.6327777075609475,9.353849555555556,15.58974925925926,1.6009197381996543,10.00574836374784,4.4548793554881785,16.499553168474733,9.1667,44.715609756097564
4,7.722161452149823,7.054082251728452,4.358682493540051,9.475396725087068,13.362642222222224,22.271070370370374,2.2870281974280777,14.293926233925486,6.364113364983113,23.570790240678193,12.2222,59.62048780487805
5,7.722161452149823,7.054082251728452,4.358682493540051,9.475396725087068,13.362642222222224,22.271070370370374,2.2870281974280777,14.293926233925486,6.364113364983113,23.570790240678193,12.2222,59.62048780487805
6,12.355458323439715,11.28653160276552,6.973891989664081,15.160634760139306,21.380227555555553,35.63371259259259,3.659245115884924,22.870281974280775,10.182581383972979,37.713264385085104,17.3149,84.46292682926831
7,12.355458323439715,11.28653160276552,6.973891989664081,15.160634760139306,21.380227555555553,35.63371259259259,3.659245115884924,22.870281974280775,10.182581383972979,37.713264385085104,17.3149,84.46292682926831
8,16.988755194729606,15.51898095380259,9.589101485788111,20.845872795191546,29.397812888888886,48.996354814814815,5.03146203434177,31.44663771463606,14.001049402962844,51.85573852949201,23.426,114.27317073170731
9,16.988755194729606,15.51898095380259,9.589101485788111,20.845872795191546,29.397812888888886,48.996354814814815,5.03146203434177,31.44663771463606,14.001049402962844,51.85573852949201,23.426,114.27317073170731
10,21.6220520660195,19.75143030483965,12.204310981912144,26.53111083024379,37.41539822222222,62.35899703703704,6.403678952798617,40.02299345499136,17.819517421952714,65.99821267389893,29.5372,144.0839024390244
