nombre,formula,precio,n,p2o5,k2o,mgo,cao,so3,b,unidad
Ácido Fosforico 54%,54%.,227.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,Lts
DAP 18-46-0,18-46-0,2700.0,18.0,46.0,0.0,0.0,0.0,0.0,0.0,Lbs
DAP 12-53-0 Soluble,21-53-0,3633.0,21.0,53.0,0.0,0.0,0.0,0.0,0.0,Lbs
MAP 12-61-0,12-61-0,4200.0,12.0,61.0,0.0,0.0,0.0,0.0,0.0,Lbs
Nitrato de Amonio,33.5-0-0,1200.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Sulfato de Amonio,21-0-0,900.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Urea,46-0-0,1160.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,Lbs
Kcl,0-0-60,1400.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,Lbs
Nitrato de Potasio,13-0-44,1905.0,13.0,0.0,44.0,0.0,0.0,0.0,0.0,Lbs
Sulfato de Potasio,0-0-50,1169.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,Lbs
Kcl Soluble,0-0-60,1500.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,Lbs
Sulpomag (K Mag),0-0-22-11-22,,0.0,0.0,22.0,11.0,0.0,0.0,0.0,Lbs
Nitrato de Magnesio,7.1-0-0-0-6.6,1548.0,7.0,0.0,0.0,6.6,0.0,0.0,0.0,Lbs
Sulfato de Magnesio,0-0-0-13-16,1066.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,Lbs
Aquafeed Mg Liquido,0-0-0-0-10,190.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,Lts
Nitrato de Calcio,15.5-0-0-19,3806.0,15.5,0.0,0.0,0.0,19.0,0.0,0.0,Lbs
Usando O Calcio,0-0-0-0-1000000,,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,Lbs
Ácido Bórico,0-0-0-0-0-0-18,0.088,0.0,0.0,0.0,0.0,0.0,0.0,18.0,Gramos
Solubor,0-0-0-0-0-0-20.5,0.0987,0.0,0.0,0.0,0.0,0.0,0.0,20.5,Gramos
Using No Borom,0-0-0-0-0-0-100000,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,Lbs
