Fase,Día Después Siembra,Semana,N,P2O5,K20,MgO,CaO,B Gramos/Ha,Relación N:K N/(K2O/3.36),Relación Ca:Mg (1:0.5) (CaO/1.39)/MgO,Relación K:Ca (1:1)     (CaO/1.19)/K2O
,1.0,1,1.1117398715964555,0.24516800000000002,1.246084,0.21326839385287674,0.741827449468,5.0926,3,0.4,0.5
,2.0,1,1.1117398715964555,0.24516800000000002,1.246084,0.21326839385287674,0.741827449468,5.0926,3,0.4,0.5
,3.0,1,1.1117398715964555,0.24516800000000002,1.246084,0.21326839385287674,0.741827449468,5.0926,3,0.4,0.5
,4.0,1,1.1117398715964555,0.24516800000000002,1.246084,0.21326839385287674,0.741827449468,5.0926,3,0.4,0.5
,5.0,1,1.1117398715964555,0.24516800000000002,1.246084,0.21326839385287674,0.741827449468,5.0926,3,0.4,0.5
,6.0,1,1.1117398715964555,0.24516800000000002,1.246084,0.21326839385287674,0.741827449468,5.0926,3,0.4,0.5
,7.0,1,1.1117398715964555,0.24516800000000002,1.246084,0.21326839385287674,0.741827449468,5.0926,3,0.4,0.5
,8.0,2,1.1117398715964555,0.24516800000000002,1.246084,0.21326839385287674,0.741827449468,5.0926,3,0.4,0.5
,9.0,2,1.1117398715964555,0.24516800000000002,1.246084,0.21326839385287674,0.741827449468,5.0926,3,0.4,0.5
,10.0,2,1.1117398715964555,0.24516800000000002,1.246084,0.21326839385287674,0.741827449468,5.0926,3,0.4,0.5
,11.0,2,1.1117398715964555,0.24516800000000002,1.246084,0.21326839385287674,0.741827449468,9.1667,3,0.4,0.5
,12.0,2,1.1117398715964555,0.24516800000000002,1.246084,0.21326839385287674,0.741827449468,9.1667,3,0.4,0.5
,13.0,2,1.1117398715964555,0.24516800000000002,1.246084,0.21326839385287674,0.741827449468,9.1667,3,0.4,0.5
,14.0,2,1.1117398715964555,0.24516800000000002,1.246084,0.21326839385287674,0.741827449468,9.1667,3,0.4,0.5
,15.0,3,1.1117398715964555,0.24516800000000002,1.246084,0.21326839385287674,0.741827449468,9.1667,3,0.4,0.5
,16.0,3,1.1117398715964555,0.24516800000000002,1.246084,0.21326839385287674,0.741827449468,9.1667,3,0.4,0.5
,17.0,3,1.1117398715964555,0.24516800000000002,1.246084,0.21326839385287674,0.741827449468,9.1667,3,0.4,0.5
,18.0,3,1.1117398715964555,0.24516800000000002,1.246084,0.21326839385287674,0.741827449468,12.2222,3,0.4,0.5
,19.0,3,1.1117398715964555,0.24516800000000002,1.246084,0.21326839385287674,0.741827449468,12.2222,3,0.4,0.5
,20.0,3,1.1117398715964555,0.24516800000000002,1.246084,0.21326839385287674,0.741827449468,12.2222,3,0.4,0.5
,21.0,3,1.1117398715964555,0.24516800000000002,1.246084,0.21326839385287674,0.741827449468,12.2222,3,0.4,0.5
,22.0,4,1.1117398715964555,0.375844,1.246084,0.21326839385287674,0.741827449468,12.2222,3,0.4,0.5
,23.0,4,1.1117398715964555,0.375844,1.246084,0.21326839385287674,0.741827449468,12.2222,3,0.4,0.5
,24.0,4,1.1117398715964555,0.375844,1.246084,0.21326839385287674,0.741827449468,12.2222,3,0.4,0.5
,25.0,4,1.1117398715964555,0.375844,1.246084,0.21326839385287674,0.741827449468,12.2222,3,0.4,0.5
,26.0,4,1.1117398715964555,0.375844,1.246084,0.21326839385287674,0.741827449468,12.2222,3,0.4,0.5
,27.0,4,1.1117398715964555,0.375844,1.246084,0.21326839385287674,0.741827449468,12.2222,3,0.4,0.5
,28.0,4,1.1117398715964555,0.375844,1.246084,0.21326839385287674,0.741827449468,12.2222,3,0.4,0.5
,29.0,5,1.588199816566365,0.5369200000000001,1.7801200000000001,0.3046691340755382,1.0597534992400002,12.2222,3,0.4,0.5
,30.0,5,1.588199816566365,0.5369200000000001,1.7801200000000001,0.3046691340755382,1.0597534992400002,12.2222,3,0.4,0.5
,31.0,5,1.588199816566365,0.5369200000000001,1.7801200000000001,0.3046691340755382,1.0597534992400002,12.2222,3,0.4,0.5
,32.0,5,1.588199816566365,0.5369200000000001,1.7801200000000001,0.3046691340755382,1.0597534992400002,12.2222,3,0.4,0.5
,33.0,5,1.588199816566365,0.5369200000000001,1.7801200000000001,0.3046691340755382,1.0597534992400002,17.3149,3,0.4,0.5
