Columna_0,N,Columna_2,P2O5,Columna_4,K2O,Columna_6,MgO,Columna_8,Ca,Columna_10,B,Columna_12
Porcentaje de Elemento,,33.5,,52.0,,60.0,,16.0,,1000000.0,,20.5
,,0.335,,0.52,,0.6,,0.16,,10000.0,,0.205
1,1.0,2.9850746268656714,0.225,0.4326923076923077,0.7473,1.0003076923076923,0.12790106503755347,0.7993816564847092,0.4448878671,4.448878671e-05,5.0926,24.841951219512197
,1.0,2.9850746268656714,0.225,0.4326923076923077,0.7473,1.0003076923076923,0.12790106503755347,0.7993816564847092,0.4448878671,4.448878671e-05,5.0926,24.841951219512197
,1.0,2.9850746268656714,0.225,0.4326923076923077,0.7473,1.0003076923076923,0.12790106503755347,0.7993816564847092,0.4448878671,4.448878671e-05,5.0926,24.841951219512197
,1.0,2.9850746268656714,0.225,0.4326923076923077,0.7473,1.0003076923076923,0.12790106503755347,0.7993816564847092,0.4448878671,4.448878671e-05,5.0926,24.841951219512197
,1.0,2.9850746268656714,0.225,0.4326923076923077,0.7473,1.0003076923076923,0.12790106503755347,0.7993816564847092,0.4448878671,4.448878671e-05,5.0926,24.841951219512197
,1.0,2.9850746268656714,0.225,0.4326923076923077,0.7473,1.0003076923076923,0.12790106503755347,0.7993816564847092,0.4448878671,4.448878671e-05,5.0926,24.841951219512197
,1.0,2.9850746268656714,0.225,0.4326923076923077,0.7473,1.0003076923076923,0.12790106503755347,0.7993816564847092,0.4448878671,4.448878671e-05,5.0926,24.841951219512197
2,1.0,2.9850746268656714,0.225,0.4326923076923077,0.7473,1.0003076923076923,0.12790106503755347,0.7993816564847092,0.4448878671,4.448878671e-05,5.0926,24.841951219512197
,1.0,2.9850746268656714,0.225,0.4326923076923077,0.7473,1.0003076923076923,0.12790106503755347,0.7993816564847092,0.4448878671,4.448878671e-05,5.0926,24.841951219512197
,1.0,2.9850746268656714,0.225,0.4326923076923077,0.7473,1.0003076923076923,0.12790106503755347,0.7993816564847092,0.4448878671,4.448878671e-05,5.0926,24.841951219512197
,1.0,2.9850746268656714,0.225,0.4326923076923077,0.7473,1.0003076923076923,0.12790106503755347,0.7993816564847092,0.4448878671,4.448878671e-05,9.1667,44.715609756097564
,1.0,2.9850746268656714,0.225,0.4326923076923077,0.7473,1.0003076923076923,0.12790106503755347,0.7993816564847092,0.4448878671,4.448878671e-05,9.1667,44.715609756097564
