Columna_0,N,Columna_2,P2O5,Columna_4,K2O,Columna_6,MgO,Columna_8,Ca,Columna_10,B,Columna_12
Porcentaje de Elemento,,46.0,,61.0,,60.0,,16.0,,27.0,,20.5
,,0.46,,0.61,,0.6,,0.16,,0.27,,0.205
1,15.383885800748033,22.89798374122876,10.260667630850001,16.820766607950823,19.734883805000003,32.89147300833334,3.1828999999999996,19.893124999999998,4.933720951250001,18.273040560185187,35.6482,173.89365853658538
2,15.383885800748033,22.89798374122876,10.260667630850001,16.820766607950823,19.734883805000003,32.89147300833334,3.1828999999999996,19.893124999999998,4.933720951250001,18.273040560185187,51.944599999999994,253.38829268292682
3,30.767771601496065,42.45953097984883,28.3230359503,46.43120647590164,39.469767610000005,65.78294601666668,6.365799999999999,39.786249999999995,9.867441902500001,36.546081120370374,76.3889,372.62878048780493
4,30.767771601496065,42.45953097984883,28.3230359503,46.43120647590164,39.469767610000005,65.78294601666668,6.365799999999999,39.786249999999995,9.867441902500001,36.546081120370374,85.5554,417.34341463414637
5,30.767771601496065,42.45953097984883,28.3230359503,46.43120647590164,39.469767610000005,65.78294601666668,6.365799999999999,39.786249999999995,9.867441902500001,36.546081120370374,100.83349999999999,491.870731707317
6,30.767771601496065,42.45953097984883,28.3230359503,46.43120647590164,39.469767610000005,65.78294601666668,6.365799999999999,39.786249999999995,9.867441902500001,36.546081120370374,121.20429999999999,591.2404878048781
7,30.767771601496065,42.45953097984883,28.3230359503,46.43120647590164,39.469767610000005,65.78294601666668,6.365799999999999,39.786249999999995,9.867441902500001,36.546081120370374,133.4265,650.8609756097561
8,29.058450956968503,45.43276801674187,12.68157006935,20.78945913008197,39.469767610000005,65.78294601666668,6.365799999999999,39.786249999999995,9.867441902500001,36.546081120370374,163.98199999999997,799.9121951219511
9,29.058450956968503,45.43276801674187,12.68157006935,20.78945913008197,39.469767610000005,65.78294601666668,6.365799999999999,39.786249999999995,9.867441902500001,36.546081120370374,170.09319999999997,829.7229268292682
10,29.058450956968503,45.43276801674187,12.68157006935,20.78945913008197,39.469767610000005,65.78294601666668,6.365799999999999,39.786249999999995,9.867441902500001,36.546081120370374,206.76039999999995,1008.5873170731705
11,29.058450956968503,45.43276801674187,12.68157006935,20.78945913008197,39.469767610000005,65.78294601666668,6.365799999999999,39.786249999999995,9.867441902500001,36.546081120370374,206.76039999999995,1008.5873170731705
12,21.782073662683075,32.69815220519645,12.68157006935,20.78945913008197,29.586346044499997,49.31057674083333,4.77176,29.823499999999996,7.396586511124999,27.394764856018515,231.2048,1127.828292682927
13,21.782073662683075,32.69815220519645,12.68157006935,20.78945913008197,29.586346044499997,49.31057674083333,4.77176,29.823499999999996,7.396586511124999,27.394764856018515,249.53810000000001,1217.2590243902441
14,21.782073662683075,32.69815220519645,12.68157006935,20.78945913008197,29.586346044499997,49.31057674083333,4.77176,29.823499999999996,7.396586511124999,27.394764856018515,249.53810000000001,1217.2590243902441
15,21.782073662683075,32.69815220519645,12.68157006935,20.78945913008197,29.586346044499997,49.31057674083333,4.77176,29.823499999999996,7.396586511124999,27.394764856018515,249.53810000000001,1217.2590243902441
16,21.782073662683075,32.69815220519645,12.68157006935,20.78945913008197,29.586346044499997,49.31057674083333,4.77176,29.823499999999996,7.396586511124999,27.394764856018515,249.53810000000001,1217.2590243902441
17,21.782073662683075,32.69815220519645,12.68157006935,20.78945913008197,29.586346044499997,49.31057674083333,4.77176,29.823499999999996,7.396586511124999,27.394764856018515,249.53810000000001,1217.2590243902441
,,,,,,,,,,,,
,431.53287541294867,636.013607679848,288.9522157067,473.6921568962296,572.2157523670002,953.6929206116666,92.28855999999999,576.8034999999998,143.05393809175004,529.8294003398149,2831.4927000000002,13812.159512195125
