Semana (Semana),DDT (DDT),FECHA,Seleccioné su opción (Preventivos),Preventivos (Dosis),Preventivos (Unidades),Urea (Lbs),Urea (Cambios),DAP 18-46-0 (Lbs),DAP 18-46-0 (Cambios),Kcl Soluble (Lbs),Kcl Soluble (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Admin_Costo / Aplicación (Costo / Aplicación)
1,1,39815,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,24.866793170731707,,20.019999999999996,315.0424180895404
2,8,39822,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,24.866793170731707,,20.019999999999996,315.0424180895404
3,15,39829,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,44.76032536585365,,20.019999999999996,315.8381593773453
4,22,39836,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,59.680108292682924,,20.019999999999996,316.43495069441843
5,29,39843,0,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,59.680108292682924,,20.019999999999996,316.43495069441843
6,36,39850,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,84.54738975609757,,20.019999999999996,317.429641952955
7,43,39857,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,84.54738975609757,,20.019999999999996,317.429641952955
8,50,39864,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,114.387443902439,,20.019999999999996,318.62324411880866
9,57,39871,0,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,114.387443902439,,20.019999999999996,318.62324411880866
10,64,39878,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,144.2279863414634,,20.019999999999996,319.81686581636967
11,71,39885,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,144.2279863414634,,20.019999999999996,319.81686581636967
12,78,39892,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,144.2279863414634,,20.019999999999996,319.81686581636967
13,85,39899,0,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
14,92,39906,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
15,99,39913,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
16,106,39920,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
17,113,39927,0,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
18,120,39934,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
19,127,39941,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
20,134,39948,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
21,141,39955,0,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
22,148,39962,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
23,155,39969,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
24,162,39976,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
25,169,39983,0,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
26,176,39990,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
27,183,39997,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
28,190,40004,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
29,197,40011,0,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
30,204,40018,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
31,211,40025,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
32,218,40032,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
33,225,40039,0,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
34,232,40046,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
35,239,40053,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
36,246,40060,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
37,253,40067,0,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
38,260,40074,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
39,267,40081,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
40,274,40088,,0.0,0,3.604680680414649,,1.0039594782608694,,7.819545066666665,,5.018708059693965,,10.344858457563259,,174.06804048780486,,20.019999999999996,321.0104679822233
