Semana,DDT,FECHA,Admin_col_3_Cambios,Nitrato de Amonio (Lbs),Admin_Nitrato de Amonio_Cambios,DAP 18-46-0 (Lbs),Admin_DAP 18-46-0_Cambios,Sulfato de Potasio (Lbs),Admin_Sulfato de Potasio_Cambios,Sulfato de Magnesio (Lbs),Admin_Sulfato de Magnesio_Cambios,Sin Calcio,Admin_Sulfato de Magnesio_Cambios_1,Solubor (Gramos),Admin_Solubor_Cambios,Melaza (Lts),Admin_Melaza_Cambios,Admin_Costo / Aplicación
1,1,39047,,5.251049854450573,,3.070633767668634,,5.215990615226336,,6.458731445833332,,0.00032293657229166665,,49.733586341463415,,20.019999999999996,,121.106180504348
2,8,39054,,5.251049854450573,,3.070633767668634,,5.215990615226336,,6.458731445833332,,0.00032293657229166665,,49.733586341463415,,20.019999999999996,,121.106180504348
3,15,39061,,8.401679767120916,,4.9130140282698145,,8.345584984362139,,10.33397031333333,,0.0005166985156666667,,89.5206507317073,,20.019999999999996,,164.0542112446544
4,22,39068,,11.552309679791259,,6.755394288870993,,11.47517935349794,,14.209209180833328,,0.0007104604590416667,,119.36021658536585,,20.019999999999996,,206.68790103120466
5,29,39075,,11.552309679791259,,6.755394288870993,,11.47517935349794,,14.209209180833328,,0.0007104604590416667,,119.36021658536585,,20.019999999999996,,206.68790103120466
6,36,39082,,17.853569505131947,,10.440154810073356,,17.734368091769543,,21.959686915833327,,0.0010979843457916666,,169.09477951219515,,20.019999999999996,,291.6410322308418
7,43,39089,,17.853569505131947,,10.440154810073356,,17.734368091769543,,21.959686915833327,,0.0010979843457916666,,169.09477951219515,,20.019999999999996,,291.6410322308418
8,50,39096,,24.15482933047263,,14.124915331275718,,23.99355683004115,,29.710164650833324,,0.0014855082325416664,,228.774887804878,,20.019999999999996,,376.9084426640399
9,57,39103,,24.15482933047263,,14.124915331275718,,23.99355683004115,,29.710164650833324,,0.0014855082325416664,,228.774887804878,,20.019999999999996,,376.9084426640399
10,64,39110,,30.456089155813316,,17.809675852478072,,30.252745568312747,,37.460642385833324,,0.0018730321192916661,,288.4559726829268,,20.019999999999996,,462.17588395733554
11,71,39117,,30.456089155813316,,17.809675852478072,,30.252745568312747,,37.460642385833324,,0.0018730321192916661,,288.4559726829268,,20.019999999999996,,462.17588395733554
12,78,39124,,30.456089155813316,,17.809675852478072,,30.252745568312747,,37.460642385833324,,0.0018730321192916661,,288.4559726829268,,20.019999999999996,,462.17588395733554
13,85,39131,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
14,92,39138,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
15,99,39145,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
16,106,39152,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
17,113,39159,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
18,120,39166,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
19,127,39173,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
20,134,39180,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
21,141,39187,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
22,148,39194,,36.757348981154,,21.49443637368044,,36.51193430658436,,45.211120120833314,,0.0022605560060416662,,348.13608097560973,,20.019999999999996,,547.4432943905337
