Requerimientos Semanal para:,Columna_1,Columna_2,Columna_3,Columna_4,Piña,Piña_1,Piña_2,Piña_3,Piña_4,Piña_5,Columna_11,Columna_12
1,6.7267004260074,-2.651278864776493e-15,4.881724392764857,8.002826873385011,9.760538666666664,18.77026666666666,3.670629925925926,22.941437037037037,10.044629189189187,37.20233033033032,35.6482,173.89365853658538
2,9.60957203715343,5.302557729552986e-15,6.973891989664082,11.432609819121447,13.943626666666663,26.81466666666666,5.243757037037037,32.77348148148148,14.349470270270267,53.14618618618617,51.944599999999994,253.38829268292682
3,14.654597356658982,-5.302557729552986e-15,10.635185284237725,17.434729974160206,21.264030666666663,40.89236666666666,7.996729481481481,49.979559259259254,21.882942162162163,81.04793393393393,76.3889,372.62878048780493
4,16.8167510650185,-1.0605115459105972e-14,12.204310981912142,20.007067183462528,24.40134666666666,46.92566666666666,9.176574814814813,57.353592592592584,25.111572972972972,93.00582582582582,85.5554,417.34341463414637
5,21.141058481737545,-1.0605115459105972e-14,15.342562377260979,25.15174160206718,30.67597866666666,58.99226666666665,11.536265481481482,72.10165925925926,31.56883459459459,116.92160960960959,100.83349999999999,491.870731707317
6,26.9068017040296,-1.0605115459105972e-14,19.52689757105943,32.011307493540045,39.042154666666654,75.08106666666664,14.682519703703704,91.76574814814815,40.17851675675675,148.80932132132128,121.20429999999999,591.2404878048781
7,26.9068017040296,-1.0605115459105972e-14,19.52689757105943,32.011307493540045,39.042154666666654,75.08106666666664,14.682519703703704,91.76574814814815,40.17851675675675,148.80932132132128,133.4265,650.8609756097561
8,26.9068017040296,-1.0605115459105972e-14,19.52689757105943,32.011307493540045,39.042154666666654,75.08106666666664,14.682519703703704,91.76574814814815,40.17851675675675,148.80932132132128,163.98199999999997,799.9121951219511
9,26.9068017040296,-1.0605115459105972e-14,19.52689757105943,32.011307493540045,39.042154666666654,75.08106666666664,14.682519703703704,91.76574814814815,40.17851675675675,148.80932132132128,170.09319999999997,829.7229268292682
10,26.9068017040296,-1.0605115459105972e-14,19.52689757105943,32.011307493540045,39.042154666666654,75.08106666666664,14.682519703703704,91.76574814814815,40.17851675675675,148.80932132132128,206.76039999999995,1008.5873170731705
11,26.9068017040296,-1.0605115459105972e-14,19.52689757105943,32.011307493540045,39.042154666666654,75.08106666666664,14.682519703703704,91.76574814814815,40.17851675675675,148.80932132132128,206.76039999999995,1008.5873170731705
12,26.9068017040296,-1.0605115459105972e-14,19.52689757105943,32.011307493540045,39.042154666666654,75.08106666666664,14.682519703703704,91.76574814814815,40.17851675675675,148.80932132132128,231.2048,1127.828292682927
13,26.9068017040296,-1.0605115459105972e-14,19.52689757105943,32.011307493540045,39.042154666666654,75.08106666666664,14.682519703703704,91.76574814814815,40.17851675675675,148.80932132132128,249.53810000000001,1217.2590243902441
14,26.9068017040296,-1.0605115459105972e-14,19.52689757105943,32.011307493540045,39.042154666666654,75.08106666666664,14.682519703703704,91.76574814814815,40.17851675675675,148.80932132132128,249.53810000000001,1217.2590243902441
15,26.9068017040296,-1.0605115459105972e-14,19.52689757105943,32.011307493540045,39.042154666666654,75.08106666666664,14.682519703703704,91.76574814814815,40.17851675675675,148.80932132132128,249.53810000000001,1217.2590243902441
16,26.9068017040296,-1.0605115459105972e-14,19.52689757105943,32.011307493540045,39.042154666666654,75.08106666666664,14.682519703703704,91.76574814814815,40.17851675675675,148.80932132132128,249.53810000000001,1217.2590243902441
17,26.9068017040296,-1.0605115459105972e-14,19.52689757105943,32.011307493540045,39.042154666666654,75.08106666666664,14.682519703703704,91.76574814814815,40.17851675675675,148.80932132132128,249.53810000000001,1217.2590243902441
