Semana (Semana),DDT (DDT),FECHA,FECHA (Cambios),Urea (Lbs),Urea (Cambios),MAP 12-61-0 (Lbs),MAP 12-61-0 (Cambios),Kcl (Lbs),Kcl (Cambios),Sulfato de Magnesio (Lbs),Sulfato de Magnesio (Cambios),Nitrato de Calcio (Lbs),Nitrato de Calcio (Cambios),Solubor (Gramos),Solubor (Cambios),Melaza (Lts),Melaza (Cambios),Admin_Costo / Aplicación (Costo / Aplicación),Columna_19
1,1,43832,,30.429217118252215,,14.17213114754098,,20.771281030261797,,13.331337645347322,,27.479343159783696,,347.78731707317075,,140.0,,1122.8647503098396,
2,8,43839,,30.429217118252215,,14.17213114754098,,20.771281030261797,,13.331337645347322,,27.479343159783696,,347.78731707317075,,140.0,,1122.8647503098396,
3,15,43846,,30.429217118252215,,14.17213114754098,,20.771281030261797,,13.331337645347322,,27.479343159783696,,626.0185365853658,,140.0,,1133.9939990903274,
4,22,43853,,30.429217118252215,,14.17213114754098,,20.771281030261797,,13.331337645347322,,27.479343159783696,,834.6868292682927,,140.0,,1142.3407307976445,
5,29,43860,,30.429217118252215,,14.17213114754098,,20.771281030261797,,13.331337645347322,,27.479343159783696,,834.6868292682927,,140.0,,1142.3407307976445,
6,36,43867,,30.429217118252215,,14.17213114754098,,20.771281030261797,,13.331337645347322,,27.479343159783696,,1182.4809756097563,,140.0,,1156.2524966513029,
7,43,43874,,30.429217118252215,,14.17213114754098,,20.771281030261797,,13.331337645347322,,27.479343159783696,,1182.4809756097563,,140.0,,1156.2524966513029,
8,50,43881,,30.429217118252215,,14.17213114754098,,20.771281030261797,,13.331337645347322,,27.479343159783696,,1599.8243902439024,,140.0,,1172.9462332366688,
9,57,43888,,30.429217118252215,,14.17213114754098,,20.771281030261797,,13.331337645347322,,27.479343159783696,,1599.8243902439024,,140.0,,1172.9462332366688,
10,64,43895,,30.429217118252215,,14.17213114754098,,20.771281030261797,,13.331337645347322,,27.479343159783696,,2017.1746341463415,,140.0,,1189.6402429927664,
11,71,43902,,30.429217118252215,,14.17213114754098,,20.771281030261797,,13.331337645347322,,27.479343159783696,,2017.1746341463415,,140.0,,1189.6402429927664,
