Requerimientos Semanal para:,Columna_1,Columna_2,Columna_3,Columna_4,Papaya / Solo,Papaya / Solo_1,Papaya / Solo_2,Papaya / Solo_3,Papaya / Solo_4,Papaya / Solo_5,Columna_11,Columna_12
1,7.64375356395,8.094364344306378,16.864404349590004,27.646564507524598,8.408128920345,14.013548200575,1.3262024032255284,8.288765020159552,1.049965939740974,3.888762739781385,35.6482,173.89365853658538
2,8.658865145699998,9.163739716148564,19.11708836541,31.339489123622954,9.524751660269999,15.87458610045,1.5023257447220622,9.389535904512888,1.189404316051382,4.405201170560674,51.944599999999994,253.38829268292682
3,9.674709660000001,10.239769629126561,21.35764378818,35.01253080029508,10.642180626,17.736967710000002,1.6785762510861038,10.491101569288148,1.3289433698898128,4.92201248107338,76.3889,372.62878048780493
4,10.700815230000002,11.331160311555296,23.610327804,38.70545541639344,11.770896752999999,19.618161255,1.8566070655952358,11.603794159970224,1.4698919091205502,5.444044107853889,85.5554,417.34341463414637
5,11.716659744300003,12.402003370769922,25.86301181982,42.3983800324918,12.888325718729998,21.48054286455,2.0328575719592767,12.705359824745479,1.6094309629589807,5.960855418366595,100.83349999999999,491.870731707317
6,12.7427653143,13.493739843449537,28.114887262770004,46.08997911929509,14.017041845729997,23.361736409549994,2.2108883864684086,13.818052415427553,1.7503795021897182,6.482887045147104,121.20429999999999,591.2404878048781
7,13.757876896049998,14.567956278804196,30.356251258410005,49.7643463252623,15.133664585654998,25.222774309425,2.3870117279649428,14.918823299780891,1.8898178785001267,6.999325475926395,133.4265,650.8609756097561
8,14.983340119649995,16.058557926535624,32.60893527422999,53.45727094136065,16.481674131614994,27.469456886024993,2.599631386435849,16.247696165224056,2.058150705352835,7.622780390195685,163.98199999999997,799.9121951219511
9,15.999184633949998,17.129746776001138,34.86081071718,57.14887002816394,17.599103097344997,29.331838495574996,2.775881892799891,17.349261829999318,2.1976897591912667,8.139591700708396,170.09319999999997,829.7229268292682
10,17.0142962157,18.199122147843337,37.113494732999996,60.841794644262286,18.71572583727,31.19287639545,2.9520052342964247,18.450032714352655,2.337128135501675,8.656030131487684,206.76039999999995,1008.5873170731705
11,18.0931729293,19.40137317485085,39.35405015577,64.51483632093442,19.90249022223,33.17081703705,3.1391919192660267,19.619949495412666,2.485325456749993,9.204909099074047,206.76039999999995,1008.5873170731705
12,19.10828451105,20.47074854669304,41.60673417159,68.20776093703279,21.019112962155,35.031854936925,3.3153152607625604,20.720720379766004,2.6247638330604017,9.72134752985334,231.2048,1127.828292682927
13,20.12412902535,21.54159160590767,43.85941818740999,71.90068555313114,22.136541927885,36.894236546475,3.491565767126602,21.82228604454126,2.7643028868988315,10.238158840366042,249.53810000000001,1217.2590243902441
14,21.15023459535,22.6329822883364,46.11210220323,75.5936101692295,23.265258054885,38.775430091475,3.6695965816357337,22.934978635223334,2.9052514261295688,10.76019046714655,249.53810000000001,1217.2590243902441
15,22.166079109650003,23.709012201314394,48.352657626,79.26665184590165,24.382687020615,40.637811701025,3.845847087999775,24.036544299998592,3.0447904799679995,11.277001777659256,249.53810000000001,1217.2590243902441
