Semana,N,Urea,P2O5,DAP 12-53-0 Soluble,K2O,Sulfato de Potasio,MgO,Sulfato de Magnesio,Ca,Usando O Calcio,B,Ácido Bórico
1,0.8650714459697101,1.5003004158048914,0.44149821424149427,0.833015498568857,1.2889519950393704,2.577903990078741,0.25235580740740743,1.5772237962962965,0.5069647916666667,5.0696479166666676e-05,5.0926,28.29222222222222
2,0.8650714459697101,1.5003004158048914,0.44149821424149427,0.833015498568857,1.385969887139108,2.771939774278216,0.25235580740740743,1.5772237962962965,0.5069647916666667,5.0696479166666676e-05,5.0926,28.29222222222222
3,1.384114313551536,2.4004806652878257,0.706397142786391,1.3328247977101717,2.217551819422572,4.435103638845144,0.4037692918518519,2.5235580740740744,0.8111436666666667,8.111436666666667e-05,9.1667,50.92611111111112
4,1.903157181133362,3.3006609147707606,0.9712960713312876,1.832634096851486,3.0491337517060364,6.098267503412073,0.5551827762962963,3.469892351851852,1.1153225416666668,0.00011153225416666668,12.2222,67.90111111111112
5,1.903157181133362,3.3006609147707606,0.9712960713312876,1.832634096851486,3.0491337517060364,6.098267503412073,0.5551827762962963,3.469892351851852,1.1153225416666668,0.00011153225416666668,12.2222,67.90111111111112
6,2.9412429162970137,5.10102141373663,1.501093928421081,2.8322526951341147,4.7122976162729655,9.424595232545931,0.8580097451851851,5.362560907407407,1.7236802916666667,0.00017236802916666667,17.3149,96.1938888888889
7,2.9412429162970137,5.10102141373663,1.501093928421081,2.8322526951341147,4.7122976162729655,9.424595232545931,0.8580097451851851,5.362560907407407,1.7236802916666667,0.00017236802916666667,17.3149,96.1938888888889
8,3.979328651460666,6.9013819127025,2.0308917855108737,3.8318712934167425,6.375461480839895,12.75092296167979,1.160836714074074,7.255229462962963,2.332038041666667,0.00023320380416666668,23.426,130.14444444444445
9,3.979328651460666,6.9013819127025,2.0308917855108737,3.8318712934167425,6.375461480839895,12.75092296167979,1.160836714074074,7.255229462962963,2.332038041666667,0.00023320380416666668,23.426,130.14444444444445
10,5.017414386624318,8.701742411668368,2.5606896426006673,4.8314898916993725,8.038625345406825,16.07725069081365,1.463663682962963,9.147898018518518,2.940395791666667,0.0002940395791666667,29.5372,164.09555555555556
11,5.017414386624318,8.701742411668368,2.5606896426006673,4.8314898916993725,8.038625345406825,16.07725069081365,1.463663682962963,9.147898018518518,2.940395791666667,0.0002940395791666667,29.5372,164.09555555555556
